index,Price_Date
0,02-01-2019
1,03-01-2019
2,04-01-2019
3,05-01-2019
4,07-01-2019
5,08-01-2019
6,09-01-2019
7,10-01-2019
8,11-01-2019
9,12-01-2019
10,14-01-2019
11,15-01-2019
12,16-01-2019
13,17-01-2019
14,18-01-2019
15,19-01-2019
16,21-01-2019
17,22-01-2019
18,23-01-2019
19,24-01-2019
20,25-01-2019
21,26-01-2019
22,28-01-2019
23,29-01-2019
24,30-01-2019
25,31-01-2019
26,02-02-2019
27,04-02-2019
28,05-02-2019
29,06-02-2019
30,07-02-2019
31,08-02-2019
32,09-02-2019
33,11-02-2019
34,12-02-2019
35,13-02-2019
36,14-02-2019
37,15-02-2019
38,16-02-2019
39,18-02-2019
40,19-02-2019
41,20-02-2019
42,21-02-2019
43,22-02-2019
44,23-02-2019
45,25-02-2019
46,26-02-2019
47,27-02-2019
48,28-02-2019
49,02-03-2019
50,04-03-2019
51,05-03-2019
52,06-03-2019
53,07-03-2019
54,08-03-2019
55,09-03-2019
56,11-03-2019
57,12-03-2019
58,13-03-2019
59,14-03-2019
60,15-03-2019
61,16-03-2019
62,18-03-2019
63,19-03-2019
64,20-03-2019
65,22-03-2019
66,23-03-2019
67,25-03-2019
68,26-03-2019
69,27-03-2019
70,28-03-2019
71,29-03-2019
72,30-03-2019
73,02-04-2019
74,03-04-2019
75,04-04-2019
76,05-04-2019
77,06-04-2019
78,08-04-2019
79,09-04-2019
80,10-04-2019
81,11-04-2019
82,13-04-2019
83,15-04-2019
84,16-04-2019
85,17-04-2019
86,19-04-2019
87,20-04-2019
88,22-04-2019
89,23-04-2019
90,24-04-2019
91,25-04-2019
92,26-04-2019
93,27-04-2019
94,29-04-2019
95,30-04-2019
96,02-05-2019
97,03-05-2019
98,04-05-2019
99,06-05-2019
100,07-05-2019
101,08-05-2019
102,09-05-2019
103,14-05-2019
104,15-05-2019
105,16-05-2019
106,17-05-2019
107,18-05-2019
108,20-05-2019
109,21-05-2019
110,22-05-2019
111,23-05-2019
112,24-05-2019
113,25-05-2019
114,27-05-2019
115,28-05-2019
116,29-05-2019
117,30-05-2019
118,31-05-2019
119,03-06-2019
120,04-06-2019
121,05-06-2019
122,06-06-2019
123,07-06-2019
124,08-06-2019
125,10-06-2019
126,11-06-2019
127,12-06-2019
128,13-06-2019
129,14-06-2019
130,15-06-2019
131,17-06-2019
132,18-06-2019
133,19-06-2019
134,20-06-2019
135,21-06-2019
136,22-06-2019
137,24-06-2019
138,25-06-2019
139,26-06-2019
140,27-06-2019
141,28-06-2019
142,29-06-2019
143,02-07-2019
144,03-07-2019
145,04-07-2019
146,05-07-2019
147,06-07-2019
148,08-07-2019
149,09-07-2019
150,10-07-2019
151,11-07-2019
152,12-07-2019
153,13-07-2019
154,15-07-2019
155,16-07-2019
156,17-07-2019
157,18-07-2019
158,19-07-2019
159,20-07-2019
160,22-07-2019
161,23-07-2019
162,24-07-2019
163,25-07-2019
164,26-07-2019
165,27-07-2019
166,29-07-2019
167,30-07-2019
168,31-07-2019
169,02-08-2019
170,03-08-2019
171,05-08-2019
172,06-08-2019
173,07-08-2019
174,08-08-2019
175,09-08-2019
176,10-08-2019
177,12-08-2019
178,13-08-2019
179,14-08-2019
180,16-08-2019
181,17-08-2019
182,19-08-2019
183,20-08-2019
184,21-08-2019
185,22-08-2019
186,23-08-2019
187,24-08-2019
188,26-08-2019
189,27-08-2019
190,28-08-2019
191,29-08-2019
192,30-08-2019
193,31-08-2019
194,02-09-2019
195,03-09-2019
196,04-09-2019
197,05-09-2019
198,06-09-2019
199,07-09-2019
200,09-09-2019
201,12-09-2019
202,13-09-2019
203,14-09-2019
204,16-09-2019
205,17-09-2019
206,18-09-2019
207,19-09-2019
208,20-09-2019
209,21-09-2019
210,23-09-2019
211,24-09-2019
212,25-09-2019
213,26-09-2019
214,27-09-2019
215,28-09-2019
216,30-09-2019
217,02-10-2019
218,03-10-2019
219,04-10-2019
220,05-10-2019
221,08-10-2019
222,09-10-2019
223,10-10-2019
224,11-10-2019
225,12-10-2019
226,14-10-2019
227,15-10-2019
228,16-10-2019
229,17-10-2019
230,18-10-2019
231,19-10-2019
232,21-10-2019
233,22-10-2019
234,23-10-2019
235,24-10-2019
236,25-10-2019
237,26-10-2019
238,30-10-2019
239,31-10-2019
240,02-11-2019
241,04-11-2019
242,05-11-2019
243,06-11-2019
244,07-11-2019
245,08-11-2019
246,13-11-2019
247,14-11-2019
248,15-11-2019
249,16-11-2019
250,18-11-2019
251,19-11-2019
252,20-11-2019
253,21-11-2019
254,22-11-2019
255,23-11-2019
256,25-11-2019
257,26-11-2019
258,27-11-2019
259,28-11-2019
260,29-11-2019
261,30-11-2019
262,02-12-2019
263,03-12-2019
264,04-12-2019
265,05-12-2019
266,06-12-2019
267,07-12-2019
268,09-12-2019
269,10-12-2019
270,11-12-2019
271,12-12-2019
272,13-12-2019
273,14-12-2019
274,16-12-2019
275,17-12-2019
276,18-12-2019
277,19-12-2019
278,20-12-2019
279,21-12-2019
280,23-12-2019
281,24-12-2019
282,26-12-2019
283,27-12-2019
284,28-12-2019
285,30-12-2019
286,31-12-2019
