index,Modal Price (Rs./Quintal)
0,460
1,450
2,500
3,480
4,500
5,510
6,490
7,500
8,510
9,500
10,510
11,520
12,515
13,550
14,540
15,555
16,530
17,520
18,600
19,640
20,650
21,640
22,680
23,600
24,550
25,510
26,530
27,540
28,510
29,500
30,560
31,580
32,590
33,600
34,610
35,600
36,590
37,520
38,530
39,510
40,540
41,570
42,530
43,540
44,560
45,520
46,540
47,530
48,525
49,520
50,540
51,530
52,520
53,540
54,530
55,550
56,560
57,560
58,570
59,610
60,640
61,650
62,610
63,600
64,650
65,540
66,650
67,600
68,610
69,580
70,550
71,560
72,580
73,600
74,620
75,610
76,600
77,600
78,610
79,600
80,620
81,600
82,600
83,620
84,625
85,610
86,620
87,620
88,600
89,620
90,640
91,660
92,700
93,720
94,720
95,730
96,720
97,710
98,720
99,710
100,730
101,750
102,700
103,730
104,710
105,720
106,700
107,720
108,710
109,730
110,720
111,710
112,730
113,720
114,740
115,730
116,780
117,800
118,810
119,780
120,800
121,810
122,800
123,810
124,820
125,810
126,820
127,840
128,830
129,840
130,830
131,850
132,840
133,850
134,860
135,870
136,880
137,875
138,890
139,880
140,885
141,880
142,820
143,830
144,840
145,830
146,830
147,820
148,825
149,830
150,820
151,825
152,830
153,840
154,835
155,830
156,840
157,850
158,880
159,860
160,855
161,850
162,840
163,845
164,840
165,835
166,840
167,820
168,820
169,825
170,830
171,825
172,830
173,830
174,825
175,800
176,810
177,780
178,725
179,730
180,780
181,780
182,750
183,730
184,710
185,730
186,720
187,725
188,750
189,770
190,780
191,790
192,750
193,740
194,730
195,780
196,750
197,760
198,740
199,745
200,740
201,720
202,710
203,725
204,720
205,720
206,730
207,710
208,720
209,740
210,735
211,730
212,740
213,735
214,750
215,760
216,740
217,780
218,785
219,800
220,810
221,810
222,840
223,850
224,860
225,870
226,865
227,840
228,845
229,850
230,840
231,860
232,850
233,850
234,870
235,865
236,880
237,875
238,890
239,895
240,890
241,900
242,910
243,910
244,915
245,930
246,915
247,910
248,920
249,925
250,925
251,880
252,860
253,850
254,850
255,830
256,835
257,830
258,825
259,850
260,840
261,845
262,845
263,840
264,830
265,880
266,870
267,880
268,1010
269,1020
270,1030
271,1020
272,1025
273,1235
274,1440
275,1480
276,1500
277,1550
278,1500
279,1500
280,1480
281,1450
282,1440
283,1450
284,1480
285,1380
286,1450
