index,Price_Date
0,01-01-2019
1,02-01-2019
2,03-01-2019
3,04-01-2019
4,05-01-2019
5,07-01-2019
6,08-01-2019
7,09-01-2019
8,10-01-2019
9,11-01-2019
10,12-01-2019
11,15-01-2019
12,16-01-2019
13,17-01-2019
14,18-01-2019
15,19-01-2019
16,21-01-2019
17,22-01-2019
18,23-01-2019
19,24-01-2019
20,25-01-2019
21,28-01-2019
22,29-01-2019
23,30-01-2019
24,31-01-2019
25,02-02-2019
26,04-02-2019
27,05-02-2019
28,06-02-2019
29,07-02-2019
30,08-02-2019
31,09-02-2019
32,11-02-2019
33,12-02-2019
34,13-02-2019
35,14-02-2019
36,16-02-2019
37,18-02-2019
38,19-02-2019
39,20-02-2019
40,21-02-2019
41,22-02-2019
42,23-02-2019
43,25-02-2019
44,26-02-2019
45,28-02-2019
46,01-03-2019
47,02-03-2019
48,05-03-2019
49,06-03-2019
50,07-03-2019
51,08-03-2019
52,09-03-2019
53,11-03-2019
54,12-03-2019
55,13-03-2019
56,14-03-2019
57,15-03-2019
58,16-03-2019
59,18-03-2019
60,19-03-2019
61,20-03-2019
62,22-03-2019
63,23-03-2019
64,25-03-2019
65,26-03-2019
66,27-03-2019
67,28-03-2019
68,29-03-2019
69,30-03-2019
70,01-04-2019
71,02-04-2019
72,03-04-2019
73,04-04-2019
74,05-04-2019
75,06-04-2019
76,08-04-2019
77,09-04-2019
78,10-04-2019
79,11-04-2019
80,12-04-2019
81,13-04-2019
82,15-04-2019
83,16-04-2019
84,18-04-2019
85,20-04-2019
86,24-04-2019
87,25-04-2019
88,26-04-2019
89,27-04-2019
90,29-04-2019
91,30-04-2019
92,01-05-2019
93,02-05-2019
94,03-05-2019
95,04-05-2019
96,06-05-2019
97,07-05-2019
98,08-05-2019
99,09-05-2019
100,10-05-2019
101,11-05-2019
102,13-05-2019
103,14-05-2019
104,15-05-2019
105,16-05-2019
106,17-05-2019
107,18-05-2019
108,20-05-2019
109,21-05-2019
110,22-05-2019
111,23-05-2019
112,24-05-2019
113,25-05-2019
114,27-05-2019
115,28-05-2019
116,01-11-2019
117,02-11-2019
118,04-11-2019
119,05-11-2019
120,06-11-2019
121,07-11-2019
122,08-11-2019
123,09-11-2019
124,11-11-2019
125,12-11-2019
126,13-11-2019
127,14-11-2019
128,15-11-2019
129,16-11-2019
130,18-11-2019
131,19-11-2019
132,20-11-2019
133,21-11-2019
134,22-11-2019
135,25-11-2019
136,26-11-2019
137,27-11-2019
138,28-11-2019
139,29-11-2019
140,30-11-2019
141,02-12-2019
142,03-12-2019
143,04-12-2019
144,05-12-2019
145,06-12-2019
146,07-12-2019
147,09-12-2019
148,10-12-2019
149,11-12-2019
150,12-12-2019
151,13-12-2019
152,14-12-2019
153,16-12-2019
154,17-12-2019
155,18-12-2019
156,19-12-2019
157,20-12-2019
158,21-12-2019
159,23-12-2019
160,24-12-2019
161,25-12-2019
162,26-12-2019
163,27-12-2019
164,28-12-2019
165,30-12-2019
166,31-12-2019
