index,Modal Price (Rs./Quintal)
0,5590
1,5575
2,5585
3,5595
4,5570
5,5560
6,5570
7,5535
8,5565
9,5525
10,5435
11,5540
12,5485
13,5490
14,5535
15,5490
16,5495
17,5510
18,5500
19,5485
20,5470
21,5520
22,5505
23,5485
24,5505
25,5465
26,5465
27,5415
28,5445
29,5475
30,5465
31,5420
32,5495
33,5460
34,5435
35,5370
36,5475
37,5475
38,5430
39,5420
40,5410
41,5420
42,5430
43,5445
44,5435
45,5465
46,5455
47,5450
48,5470
49,5465
50,5490
51,5440
52,5395
53,5450
54,5455
55,5475
56,5460
57,5500
58,5540
59,5680
60,5680
61,5610
62,5640
63,5865
64,5725
65,5865
66,5850
67,5540
68,5730
69,5700
70,5940
71,5860
72,5810
73,5915
74,6030
75,6120
76,6025
77,6100
78,6200
79,6050
80,6050
81,6120
82,6100
83,6140
84,6175
85,6100
86,6115
87,6025
88,6150
89,6125
90,6140
91,6105
92,6150
93,6115
94,6075
95,6050
96,5935
97,6200
98,6150
99,5850
100,6100
101,6055
102,5950
103,5800
104,5500
105,5900
106,5500
107,5850
108,5500
109,5705
110,5775
111,5750
112,5500
113,6050
114,6100
115,5850
116,4740
117,4750
118,4500
119,4690
120,4675
121,5000
122,4875
123,4750
124,4565
125,4580
126,4395
127,4675
128,4875
129,4300
130,4870
131,4940
132,4850
133,4680
134,4520
135,4575
136,4600
137,4670
138,4590
139,4695
140,4665
141,4785
142,4670
143,4850
144,5000
145,5190
146,4590
147,5085
148,5010
149,5030
150,5125
151,5390
152,5000
153,4965
154,5090
155,5300
156,5320
157,5250
158,5225
159,5275
160,5170
161,5300
162,4750
163,5030
164,5025
165,5260
166,5310
