index,Price_Date
0,01-01-2019
1,02-01-2019
2,03-01-2019
3,04-01-2019
4,05-01-2019
5,07-01-2019
6,08-01-2019
7,09-01-2019
8,10-01-2019
9,11-01-2019
10,12-01-2019
11,17-01-2019
12,18-01-2019
13,19-01-2019
14,21-01-2019
15,22-01-2019
16,23-01-2019
17,24-01-2019
18,25-01-2019
19,29-01-2019
20,30-01-2019
21,31-01-2019
22,01-02-2019
23,02-02-2019
24,04-02-2019
25,06-02-2019
26,12-02-2019
27,13-02-2019
28,16-02-2019
29,18-02-2019
30,19-02-2019
31,20-02-2019
32,26-02-2019
33,01-03-2019
34,05-03-2019
35,06-03-2019
36,08-03-2019
37,18-03-2019
38,19-03-2019
39,23-03-2019
40,26-03-2019
41,28-03-2019
42,02-04-2019
43,03-04-2019
44,06-04-2019
45,09-04-2019
46,10-04-2019
47,18-04-2019
48,22-04-2019
49,24-04-2019
50,26-04-2019
51,29-04-2019
52,30-04-2019
53,01-05-2019
54,02-05-2019
55,04-05-2019
56,06-05-2019
57,07-05-2019
58,08-05-2019
59,10-05-2019
60,13-05-2019
61,14-05-2019
62,15-05-2019
63,17-05-2019
64,20-05-2019
65,28-05-2019
66,31-05-2019
67,15-06-2019
68,18-06-2019
69,21-06-2019
70,24-06-2019
71,27-06-2019
72,28-06-2019
73,01-07-2019
74,02-07-2019
75,03-07-2019
76,04-07-2019
77,09-07-2019
78,10-07-2019
79,11-07-2019
80,19-07-2019
81,24-07-2019
82,25-07-2019
83,26-07-2019
84,01-08-2019
85,02-08-2019
86,03-08-2019
87,07-08-2019
88,08-08-2019
89,13-08-2019
90,14-08-2019
91,19-08-2019
92,26-08-2019
93,27-08-2019
94,28-08-2019
95,04-09-2019
96,05-09-2019
97,06-09-2019
98,07-09-2019
99,09-09-2019
100,11-09-2019
101,12-09-2019
102,13-09-2019
103,16-09-2019
104,17-09-2019
105,18-09-2019
106,24-09-2019
107,25-09-2019
108,26-09-2019
109,03-10-2019
110,04-10-2019
111,10-10-2019
112,11-10-2019
113,14-10-2019
114,15-10-2019
115,16-10-2019
116,17-10-2019
117,18-10-2019
118,19-10-2019
119,22-10-2019
120,23-10-2019
121,11-11-2019
122,12-11-2019
123,18-11-2019
124,19-11-2019
125,21-11-2019
126,26-11-2019
127,09-12-2019
128,12-12-2019
129,14-12-2019
130,18-12-2019
131,19-12-2019
132,21-12-2019
133,23-12-2019
134,26-12-2019
135,27-12-2019
136,28-12-2019
137,30-12-2019
