index,Modal Price (Rs./Quintal)
0,1752
1,1762
2,1755
3,1805
4,1751
5,1774
6,1833
7,1768
8,1758
9,1788
10,1773
11,1753
12,1753
13,1805
14,1795
15,1775
16,1760
17,1810
18,1753
19,1753
20,1802
21,1823
22,1775
23,1818
24,1751
25,1752
26,1753
27,2397
28,1767
29,1810
30,1764
31,1792
32,1795
33,1765
34,1751
35,1812
36,1763
37,1755
38,1770
39,1750
40,1755
41,1775
42,1771
43,1755
44,1750
45,1850
46,1780
47,1825
48,1800
49,1759
50,1795
51,1785
52,1755
53,1770
54,1785
55,1750
56,1760
57,1825
58,1795
59,1755
60,1803
61,1755
62,1770
63,1755
64,1753
65,1750
66,1835
67,1750
68,1793
69,2200
70,2650
71,2025
72,1840
73,1845
74,1935
75,1750
76,1800
77,1880
78,1850
79,1765
80,1751
81,1750
82,1755
83,1785
84,1775
85,1805
86,1850
87,1775
88,1780
89,1790
90,1770
91,1905
92,1900
93,1840
94,1960
95,1820
96,1822
97,1895
98,1875
99,1790
100,1860
101,1751
102,1785
103,1812
104,1806
105,1755
106,1795
107,1757
108,1825
109,1835
110,1800
111,1815
112,1797
113,1785
114,1820
115,1775
116,1805
117,1805
118,1775
119,1815
120,2090
121,1995
122,2000
123,2075
124,1850
125,2205
126,2125
127,4145
128,3890
129,4465
130,2957
131,2665
132,2000
133,3402
134,3775
135,3152
136,1758
137,2050
