index,Modal Price (Rs./Quintal)
0,1500
1,1400
2,1800
3,1800
4,1600
5,2200
6,2800
7,3600
8,3400
9,2800
10,2800
11,3600
12,2800
13,3000
14,3100
15,2800
16,2400
17,2200
18,2200
19,2200
20,2000
21,2000
22,2200
23,1800
24,1300
25,1100
26,1400
27,1400
28,900
29,800
30,1000
31,800
32,800
33,800
34,1300
35,700
36,700
37,600
38,700
39,800
40,1000
41,800
42,800
43,700
44,400
45,400
46,700
47,600
48,600
49,800
50,1000
51,1000
52,1300
53,1300
54,1400
55,1500
56,1400
57,1600
58,1400
59,1400
60,1400
61,1600
62,1200
63,1300
64,1400
65,1800
66,2600
67,3600
68,2900
69,1900
70,2400
71,2200
72,2100
73,2100
74,1900
75,2000
76,2200
77,2200
78,2200
79,2300
80,2400
81,3000
82,3000
83,3600
84,2600
85,1900
86,1800
87,1300
88,1400
89,1400
90,1800
91,2200
92,1400
93,1300
94,1100
95,1100
96,1100
97,1200
98,1300
99,1300
100,1100
101,1200
102,1600
103,1000
104,1100
105,1100
106,1400
107,1400
108,1800
109,1400
110,1800
111,1600
112,1800
113,1800
114,2200
115,2200
116,2100
117,2200
118,1800
119,1800
120,3000
121,2200
122,1800
123,2400
124,2100
125,1800
126,2200
127,1800
128,1800
129,1800
130,1400
131,1600
132,1400
133,1800
134,1800
135,1800
136,1800
137,1800
138,1800
139,1800
140,2000
141,1800
142,2200
143,2300
144,2600
145,2400
146,2200
147,3200
148,2600
149,2800
150,2200
151,2200
152,2200
153,2000
154,2200
155,1800
156,1800
157,1800
158,1600
159,1600
160,1400
161,1400
162,1400
163,1400
164,1300
165,1400
166,1400
167,1400
168,1200
169,1600
170,2200
171,1800
172,1300
173,1300
174,1300
175,2600
176,1800
177,1800
178,2200
179,1800
180,1800
181,1600
182,1800
183,1400
184,1300
185,1400
186,1300
187,1100
188,1300
189,1200
190,1100
191,1100
192,1400
193,1300
194,2400
195,1400
196,1400
197,1300
198,1000
199,1800
200,1400
201,1300
202,1150
203,1000
204,1300
205,1000
206,1000
207,1000
208,1000
209,1000
210,1000
211,1000
212,1200
213,1100
214,1000
215,800
216,1300
217,800
218,800
219,800
220,800
221,800
222,800
223,1400
224,1000
225,1200
226,1000
227,1300
228,1800
229,2200
230,2200
231,1800
232,1800
233,1800
234,1600
235,2200
236,1400
237,1400
238,1400
239,1500
240,2400
241,1800
242,1800
243,1800
244,1800
245,1800
246,2200
247,2200
248,2800
249,3600
250,2400
251,2800
252,2800
253,2800
254,3100
255,2800
256,4000
257,3600
258,3600
259,3600
260,3600
261,3600
262,3000
263,3000
264,3800
265,3600
266,3100
267,3000
268,3100
269,2800
270,3000
271,2700
272,3000
273,2600
274,2700
275,3000
276,3000
277,3000
278,2200
279,2200
280,2400
281,2300
282,2400
283,2000
284,2200
285,1800
286,2200
287,2400
288,2000
289,2200
290,2200
291,1800
292,1800
293,1800
294,1500
295,1300
