index,Modal Price (Rs./Quintal)
0,1400
1,1600
2,1600
3,1700
4,2600
5,3100
6,3800
7,3150
8,3250
9,3100
10,3150
11,3100
12,2750
13,2750
14,2600
15,2250
16,1900
17,1500
18,1750
19,1400
20,1900
21,1600
22,1750
23,1700
24,1500
25,1100
26,1100
27,1000
28,900
29,700
30,1100
31,1200
32,1100
33,1000
34,900
35,700
36,900
37,700
38,700
39,800
40,800
41,700
42,800
43,850
44,800
45,900
46,900
47,900
48,850
49,1000
50,1000
51,1000
52,900
53,900
54,800
55,900
56,800
57,900
58,850
59,900
60,1100
61,1000
62,1100
63,1050
64,1000
65,1000
66,1200
67,1600
68,1200
69,1100
70,1100
71,1300
72,1400
73,1100
74,1000
75,1000
76,1150
77,1300
78,1500
79,1600
80,2250
81,2000
82,1600
83,2400
84,2100
85,1750
86,1900
87,2900
88,2900
89,3100
90,3100
91,3100
92,2750
93,3250
94,3250
95,2700
96,2900
97,3150
98,2250
99,2750
100,3250
101,3250
102,2800
103,3250
104,3500
105,3150
106,3600
107,3250
108,3250
109,2900
110,2900
111,2800
112,3250
113,3250
114,2900
115,3250
116,3500
117,3300
118,3900
119,3250
120,3750
121,4000
122,3800
123,3300
124,3750
125,3150
126,4250
127,4900
128,4250
129,4250
130,4300
131,4250
132,3600
133,3250
134,2800
135,3250
136,3250
137,3750
138,2900
139,2750
140,3250
141,2900
142,2750
143,3150
144,2800
145,2750
146,3250
147,3150
148,3100
149,2750
150,2600
151,2250
152,3100
153,3150
154,3000
155,3150
156,2650
157,2600
158,2200
159,2100
160,1800
161,1700
162,1500
163,1600
164,1750
165,1800
166,1900
167,1650
168,1650
169,1600
170,1800
171,1650
172,1650
173,1400
174,1400
175,1150
176,1300
177,1400
178,1150
179,900
180,900
181,1200
182,1150
183,1100
184,1100
185,900
186,850
187,900
188,800
189,900
190,800
191,800
192,800
193,800
194,900
195,700
196,700
197,700
198,700
199,800
200,700
201,700
202,700
203,700
204,800
205,1100
206,1100
207,1200
208,1500
209,1100
210,1100
211,1150
212,1100
213,1350
214,1500
215,1500
216,1900
217,2250
218,1900
219,1500
220,1650
221,1800
222,2250
223,1700
224,1600
225,1500
226,1600
227,2250
228,1800
229,1800
230,1800
231,1800
232,2100
233,2000
234,1600
235,1800
236,1600
237,1600
238,1750
239,2150
240,2500
241,2250
242,2250
243,2500
244,2750
245,1900
246,2150
247,2750
248,2250
249,2250
250,1900
251,2150
252,2100
253,1650
254,1600
255,1500
256,1400
257,1000
258,1100
259,1100
260,1400
261,1500
262,1600
263,2000
264,2000
265,1800
266,1850
267,1800
268,2100
269,2000
270,1700
271,1700
272,2300
273,2100
274,1700
275,2300
276,1700
277,2300
278,1500
279,1000
280,1100
281,1100
282,1800
283,1500
284,1500
285,1500
286,1200
287,1100
288,1300
289,1200
290,1200
291,1000
292,1150
293,1400
294,1400
295,1400
