index,Price_Date
0,02-01-2019
1,03-01-2019
2,08-01-2019
3,09-01-2019
4,10-01-2019
5,15-01-2019
6,16-01-2019
7,17-01-2019
8,19-01-2019
9,20-01-2019
10,21-01-2019
11,23-01-2019
12,24-01-2019
13,25-01-2019
14,26-01-2019
15,27-01-2019
16,28-01-2019
17,29-01-2019
18,30-01-2019
19,31-01-2019
20,01-02-2019
21,02-02-2019
22,03-02-2019
23,04-02-2019
24,05-02-2019
25,06-02-2019
26,07-02-2019
27,08-02-2019
28,09-02-2019
29,10-02-2019
30,11-02-2019
31,14-02-2019
32,15-02-2019
33,16-02-2019
34,17-02-2019
35,18-02-2019
36,19-02-2019
37,20-02-2019
38,21-02-2019
39,22-02-2019
40,23-02-2019
41,24-02-2019
42,25-02-2019
43,26-02-2019
44,27-02-2019
45,28-02-2019
46,01-03-2019
47,03-03-2019
48,04-03-2019
49,05-03-2019
50,07-03-2019
51,08-03-2019
52,11-03-2019
53,12-03-2019
54,13-03-2019
55,14-03-2019
56,15-03-2019
57,16-03-2019
58,17-03-2019
59,18-03-2019
60,19-03-2019
61,22-03-2019
62,23-03-2019
63,24-03-2019
64,26-03-2019
65,27-03-2019
66,28-03-2019
67,29-03-2019
68,30-03-2019
69,01-04-2019
70,02-04-2019
71,04-04-2019
72,05-04-2019
73,06-04-2019
74,07-04-2019
75,08-04-2019
76,09-04-2019
77,10-04-2019
78,11-04-2019
79,12-04-2019
80,13-04-2019
81,16-04-2019
82,17-04-2019
83,18-04-2019
84,19-04-2019
85,21-04-2019
86,22-04-2019
87,23-04-2019
88,24-04-2019
89,25-04-2019
90,27-04-2019
91,29-04-2019
92,02-05-2019
93,03-05-2019
94,04-05-2019
95,06-05-2019
96,09-05-2019
97,10-05-2019
98,11-05-2019
99,13-05-2019
100,14-05-2019
101,15-05-2019
102,16-05-2019
103,17-05-2019
104,19-05-2019
105,20-05-2019
106,21-05-2019
107,22-05-2019
108,23-05-2019
109,24-05-2019
110,25-05-2019
111,26-05-2019
112,27-05-2019
113,28-05-2019
114,29-05-2019
115,30-05-2019
116,31-05-2019
117,02-06-2019
118,03-06-2019
119,04-06-2019
120,05-06-2019
121,07-06-2019
122,08-06-2019
123,09-06-2019
124,10-06-2019
125,11-06-2019
126,12-06-2019
127,13-06-2019
128,14-06-2019
129,15-06-2019
130,16-06-2019
131,17-06-2019
132,18-06-2019
133,19-06-2019
134,21-06-2019
135,22-06-2019
136,23-06-2019
137,24-06-2019
138,25-06-2019
139,26-06-2019
140,27-06-2019
141,28-06-2019
142,29-06-2019
143,30-06-2019
144,03-07-2019
145,04-07-2019
146,05-07-2019
147,06-07-2019
148,07-07-2019
149,08-07-2019
150,09-07-2019
151,10-07-2019
152,11-07-2019
153,12-07-2019
154,14-07-2019
155,15-07-2019
156,16-07-2019
157,18-07-2019
158,19-07-2019
159,20-07-2019
160,21-07-2019
161,22-07-2019
162,23-07-2019
163,24-07-2019
164,25-07-2019
165,26-07-2019
166,27-07-2019
167,28-07-2019
168,29-07-2019
169,30-07-2019
170,31-07-2019
171,01-08-2019
172,02-08-2019
173,03-08-2019
174,04-08-2019
175,05-08-2019
176,06-08-2019
177,07-08-2019
178,08-08-2019
179,09-08-2019
180,10-08-2019
181,11-08-2019
182,12-08-2019
183,13-08-2019
184,14-08-2019
185,15-08-2019
186,16-08-2019
187,17-08-2019
188,18-08-2019
189,19-08-2019
190,21-08-2019
191,22-08-2019
192,24-08-2019
193,25-08-2019
194,26-08-2019
195,27-08-2019
196,28-08-2019
197,29-08-2019
198,30-08-2019
199,31-08-2019
200,01-09-2019
201,02-09-2019
202,03-09-2019
203,04-09-2019
204,05-09-2019
205,06-09-2019
206,07-09-2019
207,08-09-2019
208,09-09-2019
209,10-09-2019
210,11-09-2019
211,15-09-2019
212,16-09-2019
213,17-09-2019
214,18-09-2019
215,19-09-2019
216,20-09-2019
217,21-09-2019
218,22-09-2019
219,23-09-2019
220,24-09-2019
221,25-09-2019
222,26-09-2019
223,27-09-2019
224,28-09-2019
225,29-09-2019
226,30-09-2019
227,31-10-2019
228,02-11-2019
229,03-11-2019
230,04-11-2019
231,05-11-2019
232,06-11-2019
233,07-11-2019
234,08-11-2019
235,09-11-2019
236,11-11-2019
237,12-11-2019
238,13-11-2019
239,14-11-2019
240,15-11-2019
241,16-11-2019
242,17-11-2019
243,18-11-2019
244,19-11-2019
245,20-11-2019
246,21-11-2019
247,22-11-2019
248,23-11-2019
249,24-11-2019
250,26-11-2019
251,27-11-2019
252,29-11-2019
253,30-11-2019
254,04-12-2019
255,06-12-2019
256,07-12-2019
257,08-12-2019
258,09-12-2019
259,10-12-2019
260,11-12-2019
261,12-12-2019
262,13-12-2019
263,14-12-2019
264,15-12-2019
265,16-12-2019
266,17-12-2019
267,19-12-2019
268,20-12-2019
269,21-12-2019
270,22-12-2019
271,23-12-2019
272,24-12-2019
273,25-12-2019
274,26-12-2019
275,27-12-2019
276,28-12-2019
277,29-12-2019
278,30-12-2019
279,31-12-2019
