index,Modal Price (Rs./Quintal)
0,600
1,500
2,600
3,600
4,600
5,600
6,600
7,600
8,600
9,600
10,600
11,600
12,500
13,600
14,600
15,600
16,600
17,600
18,600
19,600
20,600
21,600
22,600
23,600
24,600
25,600
26,600
27,600
28,600
29,600
30,600
31,600
32,500
33,600
34,600
35,500
36,500
37,500
38,500
39,500
40,500
41,500
42,500
43,500
44,500
45,500
46,600
47,500
48,800
49,600
50,600
51,600
52,800
53,1000
54,800
55,1000
56,1000
57,1000
58,1000
59,1000
60,1000
61,800
62,1000
63,1000
64,800
65,800
66,800
67,800
68,800
69,600
70,600
71,800
72,800
73,800
74,800
75,800
76,800
77,800
78,800
79,800
80,800
81,800
82,800
83,800
84,800
85,800
86,800
87,800
88,800
89,800
90,1500
91,800
92,800
93,800
94,600
95,800
96,800
97,800
98,800
99,800
100,800
101,800
102,800
103,800
104,800
105,800
106,800
107,800
108,800
109,800
110,800
111,800
112,600
113,800
114,800
115,800
116,800
117,800
118,800
119,800
120,800
121,800
122,800
123,800
124,800
125,800
126,800
127,800
128,1000
129,1000
130,1000
131,1000
132,1000
133,1000
134,1000
135,1000
136,1000
137,1000
138,1000
139,1000
140,1000
141,2000
142,1000
143,1000
144,1000
145,1000
146,1000
147,1000
148,1000
149,1200
150,1200
151,1200
152,1500
153,2000
154,2500
155,1500
156,1500
157,1500
158,1500
159,1500
160,1500
161,1500
162,1500
163,1500
164,1500
165,1500
166,1500
167,1500
168,1500
169,1500
170,1500
171,1500
172,1500
173,1500
174,1500
175,1500
176,1500
177,1500
178,1500
179,1500
180,1500
181,1500
182,1500
183,1500
184,1500
185,1500
186,1500
187,1500
188,1500
189,1500
190,1500
191,1500
192,1500
193,1500
194,1500
195,800
196,800
197,800
198,800
199,1500
200,1500
201,1500
202,1500
203,1200
204,1500
205,1500
206,1500
207,1500
208,1500
209,1500
210,1500
211,2000
212,2000
213,2000
214,2000
215,1500
216,2000
217,2000
218,2000
219,2000
220,2000
221,2000
222,2000
223,2000
224,2000
225,2000
226,2000
227,1500
228,1200
229,1200
230,1200
231,1200
232,1200
233,1200
234,1200
235,1200
236,1000
237,1000
238,1000
239,1200
240,800
241,1000
242,1000
243,800
244,1000
245,1000
246,1000
247,800
248,1200
249,1200
250,1200
251,1200
252,1200
253,1200
254,1200
255,1200
256,1000
257,1200
258,1200
259,1200
260,1200
261,1200
262,1200
263,1000
264,1000
265,800
266,800
267,1000
268,1000
269,1000
270,1000
271,800
272,800
273,800
274,1000
275,1000
276,800
277,1000
278,1000
279,1000
