index,Price_Date
0,02-01-2019
1,03-01-2019
2,04-01-2019
3,05-01-2019
4,06-01-2019
5,07-01-2019
6,08-01-2019
7,09-01-2019
8,10-01-2019
9,12-01-2019
10,13-01-2019
11,14-01-2019
12,15-01-2019
13,16-01-2019
14,17-01-2019
15,18-01-2019
16,19-01-2019
17,20-01-2019
18,21-01-2019
19,23-01-2019
20,24-01-2019
21,25-01-2019
22,26-01-2019
23,27-01-2019
24,28-01-2019
25,29-01-2019
26,30-01-2019
27,31-01-2019
28,01-02-2019
29,02-02-2019
30,03-02-2019
31,04-02-2019
32,05-02-2019
33,06-02-2019
34,07-02-2019
35,08-02-2019
36,09-02-2019
37,10-02-2019
38,11-02-2019
39,12-02-2019
40,14-02-2019
41,15-02-2019
42,16-02-2019
43,17-02-2019
44,18-02-2019
45,19-02-2019
46,20-02-2019
47,21-02-2019
48,22-02-2019
49,23-02-2019
50,24-02-2019
51,25-02-2019
52,26-02-2019
53,27-02-2019
54,28-02-2019
55,01-03-2019
56,02-03-2019
57,03-03-2019
58,04-03-2019
59,05-03-2019
60,06-03-2019
61,07-03-2019
62,08-03-2019
63,09-03-2019
64,10-03-2019
65,11-03-2019
66,12-03-2019
67,13-03-2019
68,14-03-2019
69,15-03-2019
70,16-03-2019
71,17-03-2019
72,18-03-2019
73,19-03-2019
74,20-03-2019
75,21-03-2019
76,22-03-2019
77,23-03-2019
78,24-03-2019
79,25-03-2019
80,26-03-2019
81,27-03-2019
82,28-03-2019
83,29-03-2019
84,30-03-2019
85,31-03-2019
86,02-04-2019
87,03-04-2019
88,04-04-2019
89,05-04-2019
90,06-04-2019
91,07-04-2019
92,08-04-2019
93,09-04-2019
94,10-04-2019
95,11-04-2019
96,12-04-2019
97,13-04-2019
98,14-04-2019
99,16-04-2019
100,17-04-2019
101,18-04-2019
102,19-04-2019
103,20-04-2019
104,21-04-2019
105,22-04-2019
106,23-04-2019
107,24-04-2019
108,25-04-2019
109,26-04-2019
110,27-04-2019
111,28-04-2019
112,29-04-2019
113,30-04-2019
114,01-05-2019
115,02-05-2019
116,03-05-2019
117,04-05-2019
118,05-05-2019
119,06-05-2019
120,07-05-2019
121,08-05-2019
122,09-05-2019
123,10-05-2019
124,11-05-2019
125,12-05-2019
126,14-05-2019
127,15-05-2019
128,16-05-2019
129,17-05-2019
130,18-05-2019
131,19-05-2019
132,20-05-2019
133,21-05-2019
134,22-05-2019
135,23-05-2019
136,24-05-2019
137,25-05-2019
138,26-05-2019
139,27-05-2019
140,28-05-2019
141,29-05-2019
142,30-05-2019
143,31-05-2019
144,02-06-2019
145,03-06-2019
146,04-06-2019
147,05-06-2019
148,07-06-2019
149,08-06-2019
150,09-06-2019
151,10-06-2019
152,11-06-2019
153,12-06-2019
154,13-06-2019
155,14-06-2019
156,15-06-2019
157,16-06-2019
158,17-06-2019
159,18-06-2019
160,19-06-2019
161,20-06-2019
162,21-06-2019
163,22-06-2019
164,23-06-2019
165,24-06-2019
166,25-06-2019
167,26-06-2019
168,27-06-2019
169,28-06-2019
170,29-06-2019
171,30-06-2019
172,01-07-2019
173,02-07-2019
174,03-07-2019
175,04-07-2019
176,05-07-2019
177,06-07-2019
178,07-07-2019
179,08-07-2019
180,09-07-2019
181,10-07-2019
182,11-07-2019
183,12-07-2019
184,13-07-2019
185,14-07-2019
186,15-07-2019
187,16-07-2019
188,18-07-2019
189,19-07-2019
190,20-07-2019
191,21-07-2019
192,22-07-2019
193,23-07-2019
194,24-07-2019
195,25-07-2019
196,26-07-2019
197,27-07-2019
198,28-07-2019
199,29-07-2019
200,30-07-2019
201,31-07-2019
202,01-08-2019
203,02-08-2019
204,03-08-2019
205,04-08-2019
206,05-08-2019
207,06-08-2019
208,07-08-2019
209,08-08-2019
210,09-08-2019
211,10-08-2019
212,11-08-2019
213,12-08-2019
214,13-08-2019
215,14-08-2019
216,15-08-2019
217,16-08-2019
218,17-08-2019
219,18-08-2019
220,19-08-2019
221,21-08-2019
222,22-08-2019
223,23-08-2019
224,24-08-2019
225,25-08-2019
226,26-08-2019
227,27-08-2019
228,28-08-2019
229,29-08-2019
230,30-08-2019
231,31-08-2019
232,01-09-2019
233,02-09-2019
234,03-09-2019
235,04-09-2019
236,05-09-2019
237,06-09-2019
238,07-09-2019
239,09-09-2019
240,10-09-2019
241,11-09-2019
242,13-09-2019
243,14-09-2019
244,15-09-2019
245,16-09-2019
246,17-09-2019
