index,Modal Price (Rs./Quintal)
0,800
1,800
2,800
3,800
4,800
5,800
6,800
7,800
8,800
9,800
10,800
11,800
12,800
13,800
14,800
15,800
16,800
17,800
18,800
19,800
20,800
21,800
22,800
23,800
24,800
25,800
26,800
27,800
28,800
29,600
30,600
31,800
32,600
33,600
34,600
35,500
36,600
37,600
38,600
39,600
40,400
41,500
42,800
43,800
44,800
45,800
46,800
47,800
48,800
49,800
50,800
51,800
52,800
53,800
54,800
55,800
56,800
57,800
58,800
59,600
60,800
61,1000
62,800
63,800
64,800
65,800
66,1000
67,800
68,1000
69,800
70,1000
71,1200
72,1200
73,1000
74,1000
75,800
76,1200
77,800
78,800
79,800
80,800
81,1000
82,1000
83,800
84,800
85,800
86,800
87,800
88,800
89,800
90,800
91,800
92,800
93,800
94,800
95,800
96,800
97,800
98,800
99,600
100,600
101,600
102,600
103,600
104,800
105,800
106,800
107,800
108,800
109,800
110,800
111,800
112,800
113,800
114,800
115,800
116,800
117,800
118,800
119,800
120,800
121,800
122,800
123,600
124,800
125,800
126,1000
127,1000
128,800
129,1000
130,1000
131,800
132,1000
133,1000
134,1000
135,1000
136,1000
137,1000
138,1000
139,800
140,2000
141,1500
142,1200
143,1000
144,1000
145,1000
146,1000
147,1000
148,1200
149,1200
150,1200
151,1000
152,1000
153,1000
154,1200
155,1200
156,1200
157,1200
158,1200
159,1200
160,1200
161,1200
162,1200
163,800
164,800
165,800
166,800
167,800
168,800
169,800
170,800
171,800
172,800
173,800
174,800
175,800
176,800
177,800
178,800
179,800
180,1200
181,1200
182,1500
183,1500
184,2000
185,1500
186,1500
187,1500
188,1500
189,1500
190,1500
191,1500
192,1500
193,1500
194,1500
195,1500
196,1500
197,1500
198,1500
199,1500
200,1500
201,1500
202,1500
203,1500
204,1500
205,1500
206,1500
207,1500
208,1500
209,1500
210,1500
211,1500
212,1500
213,1500
214,1500
215,1500
216,1200
217,1500
218,1200
219,1200
220,1200
221,1200
222,1200
223,1200
224,1200
225,1000
226,1000
227,1000
228,1000
229,1000
230,1000
231,1000
232,1000
233,800
234,1000
235,800
236,800
237,800
238,800
239,800
240,800
241,800
242,800
243,800
244,800
245,800
246,800
247,800
248,1000
249,1000
250,800
251,800
252,800
253,800
254,800
255,800
256,800
257,800
258,800
259,1000
260,1000
261,1000
262,1200
263,1200
264,1200
265,1200
266,1200
267,1600
268,1200
269,1200
270,1200
271,1200
272,1200
273,1200
274,1200
275,1200
276,1500
277,1500
278,1500
279,1500
280,1500
281,1500
282,1500
283,1500
284,1500
285,1500
286,1500
287,1500
288,1500
289,1500
290,1500
291,1500
292,1200
293,1200
294,1400
295,1200
296,1200
297,1500
298,1500
299,1500
300,1200
301,1200
302,1200
303,1200
304,1200
305,1200
306,1200
307,1200
308,1200
309,1200
310,1500
311,1200
312,1200
313,1200
314,1200
315,1200
316,1200
317,1200
318,1500
319,1200
320,1200
321,1200
322,1200
323,1200
324,1200
325,1200
326,1200
327,1200
328,1200
329,1200
330,1200
331,1200
332,1200
333,1200
334,1200
335,1200
336,1500
337,1200
338,1200
339,1200
340,1200
341,1200
342,1500
343,1200
344,1500
345,1200
