index,Price_Date
0,02-01-2019
1,14-01-2019
2,03-02-2019
3,06-02-2019
4,07-03-2019
5,08-03-2019
6,09-03-2019
7,12-03-2019
8,13-03-2019
9,14-03-2019
10,15-03-2019
11,16-03-2019
12,17-03-2019
13,19-03-2019
14,20-03-2019
15,24-03-2019
16,26-03-2019
17,28-03-2019
18,30-03-2019
19,31-03-2019
20,01-04-2019
21,02-04-2019
22,03-04-2019
23,04-04-2019
24,06-04-2019
25,07-04-2019
26,08-04-2019
27,09-04-2019
28,10-04-2019
29,11-04-2019
30,12-04-2019
31,13-04-2019
32,14-04-2019
33,16-04-2019
34,18-04-2019
35,23-04-2019
36,24-04-2019
37,05-05-2019
38,07-05-2019
39,09-05-2019
40,12-05-2019
41,14-05-2019
42,26-05-2019
43,29-05-2019
44,30-05-2019
45,31-05-2019
46,02-06-2019
47,13-06-2019
48,18-06-2019
49,26-06-2019
50,03-07-2019
51,06-07-2019
52,11-07-2019
53,12-07-2019
54,17-07-2019
55,19-07-2019
56,09-08-2019
57,10-08-2019
58,11-08-2019
59,12-08-2019
60,13-08-2019
61,17-08-2019
62,18-08-2019
63,20-08-2019
64,21-08-2019
65,22-08-2019
66,23-08-2019
67,24-08-2019
68,25-08-2019
69,26-08-2019
70,27-08-2019
71,29-08-2019
72,31-08-2019
73,01-09-2019
74,05-09-2019
75,06-09-2019
76,07-09-2019
77,08-09-2019
78,19-11-2019
79,20-11-2019
80,21-11-2019
81,28-12-2019
