index,Modal Price (Rs./Quintal)
0,1500
1,1300
2,1300
3,1100
4,1400
5,1500
6,1400
7,1400
8,1300
9,1100
10,1500
11,1700
12,1400
13,1700
14,1500
15,1900
16,2400
17,2900
18,2900
19,2900
20,2400
21,2900
22,2900
23,2400
24,2900
25,3900
26,3400
27,2900
28,2900
29,2900
30,3400
31,2400
32,2900
33,3750
34,2800
35,3800
36,3700
37,3800
38,3800
39,3700
40,3700
41,3700
42,3200
43,3200
44,3200
45,3200
46,3200
47,3200
48,3200
49,3700
50,3700
51,4300
52,4300
53,3700
54,4200
55,4200
56,5450
57,5300
58,5650
59,5350
60,5320
61,5250
62,5350
63,5350
64,4850
65,4650
66,5250
67,5850
68,5250
69,6500
70,5250
71,5700
72,5800
73,5700
74,5600
75,5300
76,5800
77,5750
78,145
79,145
80,145
81,14500
