index,Price_Date
0,01-01-2019
1,02-01-2019
2,03-01-2019
3,04-01-2019
4,05-01-2019
5,06-01-2019
6,07-01-2019
7,08-01-2019
8,09-01-2019
9,10-01-2019
10,11-01-2019
11,12-01-2019
12,13-01-2019
13,14-01-2019
14,15-01-2019
15,16-01-2019
16,17-01-2019
17,18-01-2019
18,19-01-2019
19,20-01-2019
20,21-01-2019
21,22-01-2019
22,23-01-2019
23,24-01-2019
24,25-01-2019
25,26-01-2019
26,27-01-2019
27,28-01-2019
28,29-01-2019
29,30-01-2019
30,31-01-2019
31,01-02-2019
32,02-02-2019
33,03-02-2019
34,04-02-2019
35,05-02-2019
36,06-02-2019
37,07-02-2019
38,08-02-2019
39,09-02-2019
40,10-02-2019
41,11-02-2019
42,12-02-2019
43,13-02-2019
44,14-02-2019
45,15-02-2019
46,16-02-2019
47,17-02-2019
48,18-02-2019
49,19-02-2019
50,20-02-2019
51,21-02-2019
52,22-02-2019
53,23-02-2019
54,24-02-2019
55,25-02-2019
56,26-02-2019
57,27-02-2019
58,28-02-2019
59,01-03-2019
60,02-03-2019
61,03-03-2019
62,04-03-2019
63,05-03-2019
64,06-03-2019
65,07-03-2019
66,08-03-2019
67,09-03-2019
68,10-03-2019
69,11-03-2019
70,12-03-2019
71,13-03-2019
72,14-03-2019
73,15-03-2019
74,16-03-2019
75,17-03-2019
76,18-03-2019
77,19-03-2019
78,20-03-2019
79,21-03-2019
80,22-03-2019
81,23-03-2019
82,24-03-2019
83,25-03-2019
84,26-03-2019
85,27-03-2019
86,28-03-2019
87,29-03-2019
88,30-03-2019
89,31-03-2019
90,01-04-2019
91,02-04-2019
92,03-04-2019
93,04-04-2019
94,05-04-2019
95,06-04-2019
96,07-04-2019
97,08-04-2019
98,09-04-2019
99,10-04-2019
100,11-04-2019
101,12-04-2019
102,13-04-2019
103,14-04-2019
104,17-04-2019
105,18-04-2019
106,19-04-2019
107,20-04-2019
108,21-04-2019
109,22-04-2019
110,23-04-2019
111,24-04-2019
112,25-04-2019
113,26-04-2019
114,27-04-2019
115,28-04-2019
116,29-04-2019
117,30-04-2019
118,01-05-2019
119,02-05-2019
120,03-05-2019
121,04-05-2019
122,05-05-2019
123,06-05-2019
124,07-05-2019
125,08-05-2019
126,09-05-2019
127,10-05-2019
128,11-05-2019
129,12-05-2019
130,13-05-2019
131,14-05-2019
132,15-05-2019
133,16-05-2019
134,17-05-2019
135,18-05-2019
136,19-05-2019
137,20-05-2019
138,21-05-2019
139,22-05-2019
140,23-05-2019
141,24-05-2019
142,25-05-2019
143,26-05-2019
144,27-05-2019
145,28-05-2019
146,29-05-2019
147,30-05-2019
148,31-05-2019
149,01-06-2019
150,02-06-2019
151,03-06-2019
152,04-06-2019
153,05-06-2019
154,06-06-2019
155,07-06-2019
156,08-06-2019
157,09-06-2019
158,10-06-2019
159,11-06-2019
160,12-06-2019
161,13-06-2019
162,14-06-2019
163,15-06-2019
164,16-06-2019
165,17-06-2019
166,18-06-2019
167,19-06-2019
168,20-06-2019
169,21-06-2019
170,22-06-2019
171,23-06-2019
172,24-06-2019
173,25-06-2019
174,26-06-2019
175,27-06-2019
176,28-06-2019
177,29-06-2019
178,30-06-2019
179,01-07-2019
180,02-07-2019
181,03-07-2019
182,04-07-2019
183,05-07-2019
184,06-07-2019
185,07-07-2019
186,08-07-2019
187,09-07-2019
188,10-07-2019
189,11-07-2019
190,12-07-2019
191,13-07-2019
192,14-07-2019
193,15-07-2019
194,16-07-2019
195,17-07-2019
196,18-07-2019
197,19-07-2019
198,20-07-2019
199,21-07-2019
200,22-07-2019
201,23-07-2019
202,24-07-2019
203,25-07-2019
204,26-07-2019
205,28-07-2019
206,29-07-2019
207,30-07-2019
208,31-07-2019
209,01-08-2019
210,02-08-2019
211,03-08-2019
212,04-08-2019
213,05-08-2019
214,06-08-2019
215,07-08-2019
216,08-08-2019
217,09-08-2019
218,10-08-2019
219,11-08-2019
220,12-08-2019
221,13-08-2019
222,14-08-2019
223,15-08-2019
224,16-08-2019
225,17-08-2019
226,18-08-2019
227,19-08-2019
228,20-08-2019
229,21-08-2019
230,22-08-2019
231,23-08-2019
232,24-08-2019
233,25-08-2019
234,26-08-2019
235,27-08-2019
236,28-08-2019
237,29-08-2019
238,30-08-2019
239,31-08-2019
240,01-09-2019
241,02-09-2019
242,03-09-2019
243,04-09-2019
244,05-09-2019
245,06-09-2019
246,07-09-2019
247,08-09-2019
248,09-09-2019
249,10-09-2019
250,11-09-2019
251,12-09-2019
252,13-09-2019
253,14-09-2019
254,15-09-2019
255,16-09-2019
256,17-09-2019
257,18-09-2019
258,19-09-2019
259,20-09-2019
260,21-09-2019
261,22-09-2019
262,23-09-2019
263,24-09-2019
264,25-09-2019
265,26-09-2019
266,27-09-2019
267,28-09-2019
268,29-09-2019
269,30-09-2019
270,01-10-2019
271,06-10-2019
272,07-10-2019
273,08-10-2019
274,09-10-2019
275,10-10-2019
276,11-10-2019
277,12-10-2019
278,13-10-2019
279,14-10-2019
280,15-10-2019
281,16-10-2019
282,17-10-2019
283,18-10-2019
284,19-10-2019
285,20-10-2019
286,21-10-2019
287,22-10-2019
288,23-10-2019
289,24-10-2019
290,25-10-2019
291,26-10-2019
292,27-10-2019
293,28-10-2019
294,29-10-2019
295,30-10-2019
296,31-10-2019
297,01-11-2019
298,02-11-2019
299,03-11-2019
300,04-11-2019
301,05-11-2019
302,06-11-2019
303,07-11-2019
304,08-11-2019
305,09-11-2019
306,10-11-2019
307,11-11-2019
308,12-11-2019
309,13-11-2019
310,14-11-2019
311,15-11-2019
312,16-11-2019
313,17-11-2019
314,18-11-2019
315,19-11-2019
316,20-11-2019
317,21-11-2019
318,22-11-2019
319,23-11-2019
320,24-11-2019
321,25-11-2019
322,26-11-2019
323,27-11-2019
324,28-11-2019
325,29-11-2019
326,30-11-2019
327,01-12-2019
328,02-12-2019
329,03-12-2019
330,04-12-2019
331,05-12-2019
332,06-12-2019
333,07-12-2019
334,08-12-2019
335,09-12-2019
336,10-12-2019
337,11-12-2019
338,12-12-2019
339,13-12-2019
340,14-12-2019
341,15-12-2019
342,16-12-2019
343,17-12-2019
344,18-12-2019
345,19-12-2019
346,20-12-2019
347,21-12-2019
348,22-12-2019
349,23-12-2019
350,24-12-2019
351,25-12-2019
352,26-12-2019
353,27-12-2019
354,31-12-2019
