index,Modal Price (Rs./Quintal)
0,1800
1,1800
2,2000
3,2600
4,2400
5,2200
6,2000
7,2200
8,2000
9,2200
10,2200
11,2000
12,2200
13,2000
14,2000
15,1800
16,1800
17,1800
18,1800
19,1800
20,2000
21,1600
22,1600
23,1800
24,1800
25,1800
26,1800
27,1800
28,1800
29,1800
30,1800
31,1400
32,1400
33,1400
34,1600
35,1600
36,1600
37,1600
38,1400
39,1800
40,1800
41,1400
42,1400
43,1400
44,1400
45,1400
46,1400
47,1400
48,1600
49,2000
50,1800
51,1800
52,1800
53,1800
54,1800
55,1800
56,2000
57,2200
58,2200
59,2000
60,2000
61,2000
62,2200
63,2200
64,2200
65,2000
66,2200
67,2200
68,2200
69,2000
70,2200
71,2200
72,2000
73,1800
74,1800
75,2000
76,2200
77,2200
78,2200
79,2200
80,2200
81,2200
82,2200
83,2600
84,3400
85,3600
86,3200
87,3200
88,3200
89,3200
90,3200
91,3200
92,3200
93,3200
94,3200
95,3200
96,3200
97,3400
98,3600
99,3800
100,4000
101,4000
102,4000
103,4000
104,5400
105,6400
106,6000
107,6000
108,6000
109,6000
110,5600
111,5400
112,4400
113,4200
114,4200
115,4200
116,4200
117,4200
118,4200
119,4000
120,3800
121,4200
122,4000
123,3800
124,3800
125,4200
126,4000
127,3800
128,3600
129,4000
130,3400
131,3800
132,3600
133,3000
134,3200
135,3000
136,3000
137,3200
138,3000
139,2800
140,2800
141,3000
142,2800
143,2800
144,3800
145,3800
146,3800
147,3400
148,3400
149,3400
150,4000
151,5600
152,5600
153,5600
154,5600
155,5200
156,5400
157,5200
158,5200
159,5000
160,5000
161,5000
162,4400
163,4400
164,4400
165,4000
166,4000
167,3600
168,3800
169,3200
170,3400
171,3400
172,2800
173,3000
174,2800
175,2800
176,2800
177,2800
178,2800
179,2800
180,3200
181,3000
182,3200
183,3000
184,3200
185,3200
186,5200
187,5200
188,5400
189,5200
190,5000
191,5000
192,5000
193,5000
194,5000
195,4200
196,4000
197,3600
198,3600
199,3600
200,3200
201,3800
202,3800
203,3400
204,3000
205,3200
206,3400
207,3200
208,2800
209,2800
210,2600
211,2600
212,2800
213,2800
214,2800
215,2600
216,2800
217,2600
218,2600
219,2600
220,2600
221,3000
222,3000
223,3200
224,3800
225,3800
226,3800
227,3600
228,3600
229,3600
230,3800
231,3800
232,3800
233,3600
234,3000
235,3000
236,3600
237,3800
238,4800
239,4000
240,4000
241,4000
242,3800
243,3600
244,3200
245,3000
246,3000
247,3000
248,3000
249,3000
250,3000
251,3000
252,3000
253,2800
254,2800
255,3200
256,3200
257,3000
258,3400
259,3800
260,3800
261,3600
262,3600
263,3600
264,3600
265,3600
266,4000
267,3800
268,4400
269,4600
270,3800
271,3800
272,4000
273,4000
274,4000
275,4800
276,3800
277,4600
278,7600
279,7600
280,7000
281,5000
282,4000
283,4000
284,4000
285,4000
286,4000
287,4000
288,3400
289,3200
290,3600
291,3400
292,4000
293,4400
294,4000
295,4400
296,4000
297,4000
298,4000
299,3800
300,3800
301,3800
302,3800
303,3800
304,3000
305,2800
306,2800
307,2600
308,2800
309,4000
310,4500
311,4200
312,3400
313,3600
314,3000
315,3200
316,3200
317,3800
318,3800
319,3600
320,3600
321,3400
322,3200
323,3600
324,3600
325,3000
326,3200
327,3200
328,3200
329,3400
330,3600
331,3200
332,3200
333,3200
334,3200
335,3200
336,3200
337,3000
338,3000
339,3000
340,3000
341,3000
342,3000
343,3000
344,2600
345,2000
346,2000
347,2000
348,2000
349,2000
350,2000
351,2000
352,2200
353,1800
354,2800
