index,Modal Price (Rs./Quintal)
0,700
1,600
2,800
3,800
4,800
5,800
6,600
7,700
8,700
9,700
10,700
11,700
12,700
13,600
14,600
15,600
16,600
17,600
18,600
19,600
20,600
21,600
22,600
23,600
24,600
25,700
26,600
27,800
28,700
29,600
30,600
31,600
32,600
33,600
34,600
35,600
36,600
37,600
38,600
39,600
40,600
41,600
42,600
43,600
44,800
45,1000
46,1000
47,1000
48,1000
49,1000
50,1000
51,900
52,800
53,1000
54,800
55,1000
56,1200
57,1200
58,1200
59,1200
60,1200
61,1200
62,1200
63,1400
64,1200
65,1200
66,1200
67,1200
68,1200
69,1400
70,1600
71,1600
72,1400
73,1600
74,1600
75,1800
76,1600
77,1600
78,1600
79,1600
80,1600
81,1600
82,1800
83,2000
84,1600
85,1600
86,1600
87,1800
88,1800
89,1800
90,1400
91,1400
92,1400
93,1400
94,1400
95,1400
96,1400
97,1800
98,1800
99,1400
100,1400
101,1400
102,1400
103,1400
104,2200
105,2200
106,2200
107,2200
108,2200
109,2200
110,2200
111,2600
112,2200
113,2200
114,2200
115,2200
116,2200
117,2200
118,2200
119,2200
120,2000
121,2200
122,2400
123,2600
124,2400
125,2200
126,2200
127,2200
128,2400
129,2400
130,2400
131,2200
132,2200
133,2400
134,2400
135,2400
136,2400
137,2600
138,2400
139,2400
140,2000
141,2200
142,2200
143,2400
144,2200
145,2400
146,2200
147,2200
148,2400
149,2400
150,2400
151,2000
152,2000
153,2200
154,2200
155,2200
156,2200
157,2200
158,2400
159,2400
160,2200
161,2200
162,2000
163,2000
164,2000
165,2200
166,2200
167,2600
168,2600
169,2400
170,2400
171,2400
172,2800
173,2800
174,2800
175,2200
176,2400
177,2400
178,2600
179,2800
180,2800
181,2800
182,2800
183,2800
184,2800
185,2800
186,2800
187,3200
188,2800
189,2800
190,2800
191,2800
192,3000
193,3600
194,3600
195,3000
196,2800
197,3000
198,3000
199,3000
200,3000
201,3000
202,2800
203,3000
204,3000
205,3000
206,3200
207,2800
208,3000
209,2600
210,2800
211,2800
212,3000
213,3400
214,3000
215,3000
216,2600
217,3200
218,3200
219,3000
220,3200
221,3000
222,2800
223,3000
224,3400
225,3200
226,3200
227,2800
228,3000
229,3000
230,2800
231,3000
232,3000
233,3000
234,3000
235,2800
236,2800
237,2600
238,2800
239,2800
240,2800
241,3000
242,3000
243,3000
244,3000
245,3000
246,3000
247,3000
248,2600
249,2600
250,2600
251,2600
252,2400
253,2400
254,2400
255,2200
256,3000
257,3000
258,3200
259,3200
260,3000
261,3200
262,3000
263,2200
264,2000
265,2600
266,2600
267,2800
268,2600
269,2600
270,2800
271,3000
272,2800
273,3600
274,2800
275,2800
276,3600
277,3600
278,3800
279,3600
280,3200
281,3200
282,3200
283,3200
284,3200
285,3000
286,2600
287,2200
288,2000
289,2000
290,2000
291,2200
292,2200
293,2200
294,2200
295,2400
296,2800
297,2800
298,2800
299,3000
300,3000
301,3400
302,3000
303,3200
304,3200
305,3000
306,3600
307,3800
308,3800
309,3600
310,3200
311,3200
312,3200
313,3200
314,3200
315,3200
316,3400
317,3400
318,3400
319,3400
320,3800
321,3200
322,3200
323,3000
324,2600
325,2600
326,2600
327,2600
328,2600
329,2400
330,2600
331,2600
332,2600
333,2400
334,3000
335,2800
336,2600
337,2200
338,2000
339,2200
340,2000
341,2000
342,2200
343,2000
344,1800
345,1800
346,1800
347,1800
348,2000
349,1800
350,1800
351,1800
352,1800
