index,Price_Date
0,01-01-2019
1,02-01-2019
2,03-01-2019
3,04-01-2019
4,05-01-2019
5,07-01-2019
6,08-01-2019
7,09-01-2019
8,10-01-2019
9,11-01-2019
10,12-01-2019
11,14-01-2019
12,15-01-2019
13,16-01-2019
14,17-01-2019
15,18-01-2019
16,19-01-2019
17,21-01-2019
18,22-01-2019
19,23-01-2019
20,24-01-2019
21,25-01-2019
22,28-01-2019
23,29-01-2019
24,30-01-2019
25,31-01-2019
26,01-02-2019
27,02-02-2019
28,04-02-2019
29,05-02-2019
30,06-02-2019
31,07-02-2019
32,08-02-2019
33,09-02-2019
34,11-02-2019
35,12-02-2019
36,13-02-2019
37,14-02-2019
38,15-02-2019
39,16-02-2019
40,18-02-2019
41,19-02-2019
42,20-02-2019
43,21-02-2019
44,22-02-2019
45,23-02-2019
46,25-02-2019
47,26-02-2019
48,27-02-2019
49,28-02-2019
50,01-03-2019
51,02-03-2019
52,04-03-2019
53,05-03-2019
54,06-03-2019
55,07-03-2019
56,08-03-2019
57,09-03-2019
58,11-03-2019
59,12-03-2019
60,13-03-2019
61,15-03-2019
62,18-03-2019
63,19-03-2019
64,20-03-2019
65,21-03-2019
66,25-03-2019
67,26-03-2019
68,27-03-2019
69,28-03-2019
70,29-03-2019
71,30-03-2019
72,01-04-2019
73,02-04-2019
74,03-04-2019
75,04-04-2019
76,05-04-2019
77,06-04-2019
78,08-04-2019
79,09-04-2019
80,10-04-2019
81,11-04-2019
82,12-04-2019
83,13-04-2019
84,16-04-2019
85,17-04-2019
86,18-04-2019
87,19-04-2019
88,22-04-2019
89,23-04-2019
90,24-04-2019
91,25-04-2019
92,26-04-2019
93,29-04-2019
94,30-04-2019
95,02-05-2019
96,03-05-2019
97,04-05-2019
98,06-05-2019
99,07-05-2019
100,08-05-2019
101,10-05-2019
102,11-05-2019
103,13-05-2019
104,14-05-2019
105,15-05-2019
106,16-05-2019
107,18-05-2019
108,20-05-2019
109,21-05-2019
110,22-05-2019
111,23-05-2019
112,24-05-2019
113,25-05-2019
114,27-05-2019
115,28-05-2019
116,29-05-2019
117,30-05-2019
118,31-05-2019
119,01-06-2019
120,03-06-2019
121,04-06-2019
122,07-06-2019
123,08-06-2019
124,10-06-2019
125,11-06-2019
126,12-06-2019
127,13-06-2019
128,14-06-2019
129,15-06-2019
130,17-06-2019
131,18-06-2019
132,19-06-2019
133,20-06-2019
134,21-06-2019
135,22-06-2019
136,24-06-2019
137,25-06-2019
138,26-06-2019
139,27-06-2019
140,28-06-2019
141,29-06-2019
142,01-07-2019
143,02-07-2019
144,03-07-2019
145,04-07-2019
146,05-07-2019
147,06-07-2019
148,08-07-2019
149,09-07-2019
150,10-07-2019
151,11-07-2019
152,12-07-2019
153,13-07-2019
154,15-07-2019
155,16-07-2019
156,17-07-2019
157,18-07-2019
158,19-07-2019
159,20-07-2019
160,22-07-2019
161,23-07-2019
162,25-07-2019
163,26-07-2019
164,27-07-2019
165,29-07-2019
166,30-07-2019
167,31-07-2019
168,01-08-2019
169,02-08-2019
170,05-08-2019
171,06-08-2019
172,07-08-2019
173,08-08-2019
174,09-08-2019
175,13-08-2019
176,14-08-2019
177,16-08-2019
178,17-08-2019
179,19-08-2019
180,20-08-2019
181,21-08-2019
182,22-08-2019
183,23-08-2019
184,24-08-2019
185,26-08-2019
186,27-08-2019
187,28-08-2019
188,29-08-2019
189,30-08-2019
190,31-08-2019
191,02-09-2019
192,03-09-2019
193,04-09-2019
194,05-09-2019
195,06-09-2019
196,07-09-2019
197,09-09-2019
198,11-09-2019
199,12-09-2019
200,13-09-2019
201,14-09-2019
202,16-09-2019
203,17-09-2019
204,18-09-2019
205,19-09-2019
206,20-09-2019
207,21-09-2019
208,23-09-2019
209,24-09-2019
210,25-09-2019
211,26-09-2019
212,27-09-2019
213,30-09-2019
214,01-10-2019
215,02-10-2019
216,03-10-2019
217,04-10-2019
218,06-10-2019
219,15-10-2019
220,16-10-2019
221,17-10-2019
222,18-10-2019
223,19-10-2019
224,23-10-2019
225,24-10-2019
226,25-10-2019
227,26-10-2019
228,29-10-2019
229,30-10-2019
230,31-10-2019
231,01-11-2019
232,02-11-2019
233,04-11-2019
234,05-11-2019
235,06-11-2019
236,07-11-2019
237,08-11-2019
238,12-11-2019
239,13-11-2019
240,14-11-2019
241,15-11-2019
242,16-11-2019
243,18-11-2019
244,19-11-2019
245,20-11-2019
246,21-11-2019
247,22-11-2019
248,23-11-2019
249,25-11-2019
250,26-11-2019
251,27-11-2019
252,28-11-2019
253,29-11-2019
254,02-12-2019
255,03-12-2019
256,04-12-2019
257,05-12-2019
258,06-12-2019
259,09-12-2019
260,10-12-2019
261,12-12-2019
262,13-12-2019
263,14-12-2019
264,16-12-2019
265,17-12-2019
266,18-12-2019
267,20-12-2019
268,23-12-2019
269,24-12-2019
270,26-12-2019
271,27-12-2019
272,30-12-2019
273,31-12-2019
