index,Modal Price (Rs./Quintal)
0,520
1,520
2,500
3,500
4,520
5,510
6,540
7,530
8,550
9,590
10,580
11,590
12,520
13,520
14,500
15,500
16,500
17,500
18,500
19,500
20,500
21,500
22,500
23,500
24,480
25,480
26,500
27,500
28,580
29,580
30,540
31,560
32,520
33,540
34,520
35,530
36,580
37,580
38,600
39,600
40,600
41,580
42,520
43,520
44,500
45,510
46,500
47,520
48,500
49,600
50,520
51,520
52,520
53,600
54,580
55,610
56,580
57,540
58,540
59,520
60,520
61,520
62,480
63,480
64,480
65,480
66,540
67,540
68,640
69,700
70,800
71,800
72,720
73,720
74,700
75,690
76,750
77,790
78,840
79,930
80,930
81,930
82,940
83,930
84,930
85,900
86,830
87,840
88,820
89,820
90,840
91,830
92,900
93,1030
94,1000
95,1020
96,1000
97,1000
98,1000
99,1000
100,1000
101,980
102,980
103,960
104,960
105,940
106,940
107,960
108,980
109,960
110,960
111,960
112,960
113,960
114,960
115,900
116,920
117,900
118,900
119,920
120,900
121,900
122,900
123,900
124,900
125,920
126,920
127,920
128,960
129,960
130,940
131,940
132,940
133,940
134,940
135,950
136,940
137,950
138,940
139,920
140,920
141,920
142,920
143,930
144,920
145,930
146,920
147,920
148,920
149,930
150,930
151,920
152,940
153,940
154,940
155,940
156,930
157,940
158,940
159,940
160,900
161,870
162,850
163,840
164,850
165,980
166,1000
167,1000
168,900
169,900
170,900
171,900
172,900
173,880
174,870
175,900
176,900
177,840
178,820
179,820
180,840
181,840
182,860
183,860
184,860
185,860
186,860
187,880
188,880
189,880
190,880
191,900
192,900
193,900
194,920
195,920
196,900
197,940
198,920
199,920
200,920
201,900
202,920
203,920
204,920
205,920
206,880
207,860
208,860
209,860
210,860
211,860
212,860
213,860
214,920
215,920
216,920
217,920
218,920
219,1260
220,1210
221,1130
222,1140
223,1140
224,1240
225,1240
226,1240
227,1240
228,1420
229,1440
230,1420
231,1420
232,1420
233,1500
234,1500
235,1600
236,1600
237,1600
238,1620
239,1620
240,1620
241,1600
242,1570
243,1500
244,1480
245,1480
246,1480
247,1460
248,1400
249,1350
250,1400
251,1420
252,1500
253,1540
254,1580
255,1560
256,1640
257,1580
258,1640
259,1700
260,1700
261,1640
262,1600
263,1620
264,1800
265,1840
266,2050
267,2100
268,1180
269,2240
270,2160
271,2100
272,2100
273,2100
