index,Price_Date
0,01-01-2019
1,02-01-2019
2,03-01-2019
3,05-01-2019
4,07-01-2019
5,08-01-2019
6,09-01-2019
7,10-01-2019
8,14-01-2019
9,15-01-2019
10,16-01-2019
11,17-01-2019
12,18-01-2019
13,19-01-2019
14,21-01-2019
15,23-01-2019
16,24-01-2019
17,25-01-2019
18,28-01-2019
19,29-01-2019
20,30-01-2019
21,01-02-2019
22,02-02-2019
23,04-02-2019
24,05-02-2019
25,06-02-2019
26,07-02-2019
27,08-02-2019
28,12-02-2019
29,13-02-2019
30,15-02-2019
31,16-02-2019
32,18-02-2019
33,19-02-2019
34,20-02-2019
35,21-02-2019
36,22-02-2019
37,23-02-2019
38,25-02-2019
39,26-02-2019
40,27-02-2019
41,28-02-2019
42,01-03-2019
43,02-03-2019
44,04-03-2019
45,06-03-2019
46,08-03-2019
47,11-03-2019
48,12-03-2019
49,13-03-2019
50,14-03-2019
51,15-03-2019
52,16-03-2019
53,18-03-2019
54,19-03-2019
55,20-03-2019
56,25-03-2019
57,26-03-2019
58,27-03-2019
59,28-03-2019
60,30-03-2019
61,02-04-2019
62,03-04-2019
63,04-04-2019
64,05-04-2019
65,09-04-2019
66,10-04-2019
67,12-04-2019
68,16-04-2019
69,05-09-2019
70,07-09-2019
71,09-09-2019
72,11-09-2019
73,13-09-2019
74,14-09-2019
75,19-09-2019
76,23-09-2019
77,25-09-2019
78,26-09-2019
79,27-09-2019
80,28-09-2019
81,30-09-2019
82,01-10-2019
83,03-10-2019
84,04-10-2019
85,05-10-2019
86,07-10-2019
87,10-10-2019
88,12-10-2019
89,15-10-2019
90,16-10-2019
91,17-10-2019
92,18-10-2019
93,19-10-2019
94,22-10-2019
95,23-10-2019
96,24-10-2019
97,25-10-2019
98,29-10-2019
99,30-10-2019
100,31-10-2019
101,01-11-2019
102,02-11-2019
103,04-11-2019
104,06-11-2019
105,07-11-2019
106,08-11-2019
107,09-11-2019
108,14-11-2019
109,15-11-2019
110,16-11-2019
111,19-11-2019
112,20-11-2019
113,21-11-2019
114,22-11-2019
115,23-11-2019
116,25-11-2019
117,26-11-2019
118,27-11-2019
119,28-11-2019
120,30-11-2019
121,02-12-2019
122,03-12-2019
123,04-12-2019
124,05-12-2019
125,07-12-2019
126,09-12-2019
127,10-12-2019
128,11-12-2019
129,12-12-2019
130,13-12-2019
131,16-12-2019
132,17-12-2019
133,18-12-2019
134,19-12-2019
135,20-12-2019
136,23-12-2019
137,24-12-2019
138,26-12-2019
139,28-12-2019
140,30-12-2019
