index,Modal Price (Rs./Quintal)
0,1975
1,1975
2,1900
3,2125
4,1750
5,1775
6,1775
7,1775
8,1775
9,1775
10,1775
11,1775
12,1775
13,1850
14,1775
15,1925
16,1900
17,1775
18,1800
19,2025
20,2000
21,2000
22,1925
23,2000
24,2000
25,2000
26,2000
27,2075
28,2000
29,2300
30,1925
31,2000
32,2125
33,1800
34,1800
35,1750
36,1750
37,1750
38,1825
39,1825
40,2050
41,1750
42,1750
43,1725
44,1875
45,2150
46,1975
47,2050
48,2050
49,2050
50,2050
51,2075
52,1746
53,2050
54,1725
55,2075
56,2150
57,2350
58,2425
59,2425
60,2175
61,2700
62,2600
63,2600
64,2600
65,2450
66,2730
67,2750
68,2750
69,2875
70,2600
71,2600
72,2250
73,2750
74,2750
75,3025
76,2875
77,2700
78,2800
79,2775
80,2750
81,2750
82,2875
83,1854
84,2875
85,2500
86,2800
87,2150
88,2500
89,2575
90,2750
91,2731
92,2825
93,2150
94,2300
95,2525
96,2854
97,2600
98,2300
99,2675
100,2600
101,1850
102,2525
103,2450
104,2500
105,2700
106,2800
107,2300
108,2650
109,2500
110,2500
111,2650
112,2475
113,2500
114,2500
115,2500
116,2037
117,2500
118,2500
119,2525
120,2525
121,2575
122,2875
123,2575
124,2575
125,2600
126,2450
127,2450
128,2525
129,2525
130,2525
131,2450
132,2750
133,2375
134,2225
135,2450
136,2475
137,2625
138,2525
139,2525
140,2550
