index,Price_Date
0,01-01-2019
1,02-01-2019
2,03-01-2019
3,04-01-2019
4,06-01-2019
5,07-01-2019
6,08-01-2019
7,09-01-2019
8,10-01-2019
9,11-01-2019
10,13-01-2019
11,14-01-2019
12,15-01-2019
13,16-01-2019
14,17-01-2019
15,18-01-2019
16,20-01-2019
17,21-01-2019
18,22-01-2019
19,23-01-2019
20,24-01-2019
21,25-01-2019
22,27-01-2019
23,28-01-2019
24,29-01-2019
25,30-01-2019
26,01-02-2019
27,03-02-2019
28,04-02-2019
29,05-02-2019
30,06-02-2019
31,07-02-2019
32,08-02-2019
33,10-02-2019
34,11-02-2019
35,12-02-2019
36,14-02-2019
37,15-02-2019
38,17-02-2019
39,18-02-2019
40,20-02-2019
41,21-02-2019
42,22-02-2019
43,25-02-2019
44,26-02-2019
45,27-02-2019
46,01-03-2019
47,03-03-2019
48,06-03-2019
49,07-03-2019
50,08-03-2019
51,10-03-2019
52,11-03-2019
53,12-03-2019
54,13-03-2019
55,14-03-2019
56,15-03-2019
57,17-03-2019
58,18-03-2019
59,19-03-2019
60,24-03-2019
61,25-03-2019
62,26-03-2019
63,27-03-2019
64,28-03-2019
65,29-03-2019
66,31-03-2019
67,01-04-2019
68,02-04-2019
69,03-04-2019
70,04-04-2019
71,05-04-2019
72,07-04-2019
73,08-04-2019
74,09-04-2019
75,10-04-2019
76,12-04-2019
77,15-04-2019
78,16-04-2019
79,17-04-2019
80,22-04-2019
81,23-04-2019
82,25-04-2019
83,26-04-2019
84,28-04-2019
85,29-04-2019
86,30-04-2019
87,02-05-2019
88,03-05-2019
89,05-05-2019
90,06-05-2019
91,08-05-2019
92,09-05-2019
93,10-05-2019
94,12-05-2019
95,13-05-2019
96,14-05-2019
97,15-05-2019
98,21-05-2019
99,22-05-2019
100,23-05-2019
101,24-05-2019
102,26-05-2019
103,27-05-2019
104,28-05-2019
105,29-05-2019
106,30-05-2019
107,31-05-2019
108,02-06-2019
109,03-06-2019
110,04-06-2019
111,06-06-2019
112,07-06-2019
113,09-06-2019
114,10-06-2019
115,11-06-2019
116,12-06-2019
117,13-06-2019
118,14-06-2019
119,16-06-2019
120,17-06-2019
121,18-06-2019
122,19-06-2019
123,20-06-2019
124,21-06-2019
125,23-06-2019
126,24-06-2019
127,25-06-2019
128,26-06-2019
129,27-06-2019
130,28-06-2019
131,30-06-2019
132,01-07-2019
133,02-07-2019
134,03-07-2019
135,04-07-2019
136,05-07-2019
137,07-07-2019
138,08-07-2019
139,10-07-2019
140,11-07-2019
141,12-07-2019
142,14-07-2019
143,15-07-2019
144,16-07-2019
145,17-07-2019
146,18-07-2019
147,19-07-2019
148,21-07-2019
149,22-07-2019
150,23-07-2019
151,24-07-2019
152,25-07-2019
153,26-07-2019
154,28-07-2019
155,29-07-2019
156,30-07-2019
157,31-07-2019
158,01-08-2019
159,02-08-2019
160,04-08-2019
161,06-08-2019
162,07-08-2019
163,08-08-2019
164,09-08-2019
165,11-08-2019
166,13-08-2019
167,14-08-2019
168,16-08-2019
169,18-08-2019
170,19-08-2019
171,20-08-2019
172,21-08-2019
173,22-08-2019
174,23-08-2019
175,25-08-2019
176,26-08-2019
177,27-08-2019
178,28-08-2019
179,29-08-2019
180,01-09-2019
181,03-09-2019
182,04-09-2019
183,05-09-2019
184,06-09-2019
185,08-09-2019
186,09-09-2019
187,11-09-2019
188,12-09-2019
189,13-09-2019
190,15-09-2019
191,16-09-2019
192,17-09-2019
193,18-09-2019
194,19-09-2019
195,20-09-2019
196,22-09-2019
197,23-09-2019
198,24-09-2019
199,25-09-2019
200,27-09-2019
201,29-09-2019
202,30-09-2019
203,01-10-2019
204,04-10-2019
205,06-10-2019
206,07-10-2019
207,09-10-2019
208,11-10-2019
209,13-10-2019
210,14-10-2019
211,15-10-2019
212,16-10-2019
213,17-10-2019
214,18-10-2019
215,22-10-2019
216,23-10-2019
217,31-10-2019
218,01-11-2019
219,03-11-2019
220,04-11-2019
221,05-11-2019
222,07-11-2019
223,08-11-2019
224,10-11-2019
225,11-11-2019
226,12-11-2019
227,13-11-2019
228,14-11-2019
229,15-11-2019
230,17-11-2019
231,18-11-2019
232,20-11-2019
233,21-11-2019
234,22-11-2019
235,24-11-2019
236,25-11-2019
237,26-11-2019
238,27-11-2019
239,28-11-2019
240,29-11-2019
241,01-12-2019
242,02-12-2019
243,03-12-2019
244,04-12-2019
245,05-12-2019
246,06-12-2019
247,08-12-2019
248,09-12-2019
249,10-12-2019
250,11-12-2019
251,12-12-2019
252,13-12-2019
253,15-12-2019
254,16-12-2019
255,17-12-2019
256,18-12-2019
257,19-12-2019
258,20-12-2019
259,22-12-2019
260,23-12-2019
261,24-12-2019
262,26-12-2019
263,27-12-2019
264,29-12-2019
265,30-12-2019
266,31-12-2019
