index,Modal Price (Rs./Quintal)
0,3150
1,3250
2,3250
3,3120
4,3230
5,3325
6,3130
7,3320
8,3250
9,3250
10,3340
11,3360
12,3340
13,3320
14,3370
15,3450
16,3540
17,3560
18,3420
19,3440
20,3530
21,3560
22,3460
23,3520
24,3520
25,3560
26,3560
27,3560
28,3560
29,3560
30,3520
31,3420
32,3520
33,3450
34,3460
35,3420
36,3582
37,3430
38,3420
39,3420
40,3420
41,3420
42,3460
43,3450
44,3420
45,3420
46,3460
47,3420
48,3420
49,3420
50,3420
51,3420
52,3430
53,3360
54,3320
55,3320
56,3320
57,3360
58,3320
59,3340
60,3450
61,3350
62,3520
63,3400
64,3400
65,3420
66,3430
67,3420
68,3500
69,3520
70,3550
71,3530
72,3550
73,3550
74,3550
75,3420
76,3520
77,3520
78,3550
79,3685
80,3560
81,3450
82,3520
83,3520
84,3550
85,3520
86,3420
87,3430
88,3320
89,3330
90,3350
91,3345
92,3420
93,3400
94,3520
95,3420
96,3550
97,3530
98,3320
99,3460
100,3520
101,3560
102,3500
103,3522
104,3550
105,3520
106,3550
107,3530
108,3550
109,3520
110,3350
111,3420
112,3420
113,3450
114,3340
115,3450
116,3320
117,3420
118,3420
119,3460
120,3345
121,3440
122,3390
123,3360
124,3322
125,3320
126,3320
127,3320
128,3460
129,3430
130,3460
131,3450
132,3350
133,3520
134,3320
135,3430
136,3430
137,3320
138,3320
139,3320
140,3250
141,3320
142,3422
143,3340
144,3480
145,3480
146,3340
147,3420
148,3420
149,3420
150,3450
151,3420
152,3430
153,3420
154,3320
155,3480
156,3250
157,3460
158,3420
159,3460
160,3430
161,3440
162,3420
163,3440
164,3520
165,3520
166,3450
167,3520
168,3615
169,3500
170,3520
171,3450
172,3420
173,3360
174,3520
175,3320
176,3610
177,3565
178,3585
179,3520
180,3580
181,3520
182,3560
183,3580
184,3520
185,3560
186,3585
187,3590
188,3712
189,3595
190,3670
191,3680
192,3650
193,3725
194,3720
195,3750
196,3760
197,3820
198,3760
199,3920
200,3870
201,3920
202,3760
203,3740
204,3795
205,3520
206,3520
207,3520
208,3320
209,3360
210,3320
211,3200
212,3250
213,3260
214,3050
215,3250
216,3250
217,3350
218,3230
219,3330
220,3320
221,3420
222,3400
223,3320
224,3520
225,3420
226,3420
227,3520
228,3420
229,3440
230,3460
231,3520
232,3520
233,3530
234,3430
235,3420
236,3520
237,3520
238,3500
239,3460
240,3610
241,3550
242,3520
243,3600
244,3420
245,3530
246,3720
247,3520
248,3620
249,3500
250,3620
251,3760
252,3800
253,3820
254,3820
255,3620
256,3900
257,3920
258,3850
259,3820
260,4050
261,3820
262,3820
263,4060
264,4020
265,4120
266,4050
