index,Price_Date
0,01-01-2019
1,02-01-2019
2,03-01-2019
3,05-01-2019
4,06-01-2019
5,07-01-2019
6,08-01-2019
7,09-01-2019
8,10-01-2019
9,12-01-2019
10,13-01-2019
11,14-01-2019
12,15-01-2019
13,16-01-2019
14,17-01-2019
15,19-01-2019
16,20-01-2019
17,21-01-2019
18,22-01-2019
19,23-01-2019
20,24-01-2019
21,27-01-2019
22,29-01-2019
23,30-01-2019
24,31-01-2019
25,02-02-2019
26,03-02-2019
27,04-02-2019
28,05-02-2019
29,06-02-2019
30,07-02-2019
31,09-02-2019
32,10-02-2019
33,11-02-2019
34,12-02-2019
35,13-02-2019
36,14-02-2019
37,16-02-2019
38,17-02-2019
39,18-02-2019
40,19-02-2019
41,20-02-2019
42,21-02-2019
43,23-02-2019
44,24-02-2019
45,25-02-2019
46,26-02-2019
47,27-02-2019
48,28-02-2019
49,02-03-2019
50,04-03-2019
51,05-03-2019
52,06-03-2019
53,07-03-2019
54,09-03-2019
55,10-03-2019
56,11-03-2019
57,12-03-2019
58,13-03-2019
59,14-03-2019
60,16-03-2019
61,17-03-2019
62,18-03-2019
63,19-03-2019
64,20-03-2019
65,21-03-2019
66,23-03-2019
67,24-03-2019
68,25-03-2019
69,26-03-2019
70,27-03-2019
71,28-03-2019
72,30-03-2019
73,31-03-2019
74,01-04-2019
75,02-04-2019
76,03-04-2019
77,04-04-2019
78,06-04-2019
79,07-04-2019
80,08-04-2019
81,09-04-2019
82,10-04-2019
83,11-04-2019
84,13-04-2019
85,14-04-2019
86,15-04-2019
87,16-04-2019
88,17-04-2019
89,18-04-2019
90,20-04-2019
91,21-04-2019
92,22-04-2019
93,24-04-2019
94,25-04-2019
95,27-04-2019
96,28-04-2019
97,29-04-2019
98,30-04-2019
99,01-05-2019
100,02-05-2019
101,04-05-2019
102,05-05-2019
103,06-05-2019
104,07-05-2019
105,08-05-2019
106,09-05-2019
107,11-05-2019
108,12-05-2019
109,13-05-2019
110,14-05-2019
111,15-05-2019
112,21-05-2019
113,22-05-2019
114,23-05-2019
115,25-05-2019
116,26-05-2019
117,27-05-2019
118,28-05-2019
119,29-05-2019
120,30-05-2019
121,01-06-2019
122,02-06-2019
123,03-06-2019
124,04-06-2019
125,06-06-2019
126,08-06-2019
127,09-06-2019
128,10-06-2019
129,11-06-2019
130,12-06-2019
131,13-06-2019
132,15-06-2019
133,16-06-2019
134,17-06-2019
135,18-06-2019
136,19-06-2019
137,20-06-2019
138,22-06-2019
139,23-06-2019
140,24-06-2019
141,25-06-2019
142,26-06-2019
143,27-06-2019
144,29-06-2019
145,30-06-2019
146,01-07-2019
147,02-07-2019
148,03-07-2019
149,04-07-2019
150,06-07-2019
151,07-07-2019
152,08-07-2019
153,09-07-2019
154,10-07-2019
155,11-07-2019
156,13-07-2019
157,14-07-2019
158,15-07-2019
159,16-07-2019
160,17-07-2019
161,18-07-2019
162,20-07-2019
163,21-07-2019
164,22-07-2019
165,23-07-2019
166,24-07-2019
167,25-07-2019
168,27-07-2019
169,28-07-2019
170,29-07-2019
171,30-07-2019
172,31-07-2019
173,01-08-2019
174,03-08-2019
175,04-08-2019
176,05-08-2019
177,06-08-2019
178,07-08-2019
179,08-08-2019
180,10-08-2019
181,11-08-2019
182,13-08-2019
183,14-08-2019
184,17-08-2019
185,18-08-2019
186,19-08-2019
187,21-08-2019
188,26-08-2019
189,27-08-2019
190,28-08-2019
191,29-08-2019
192,31-08-2019
193,01-09-2019
194,03-09-2019
195,04-09-2019
196,05-09-2019
197,07-09-2019
198,08-09-2019
199,10-09-2019
200,11-09-2019
201,12-09-2019
202,14-09-2019
203,15-09-2019
204,16-09-2019
205,17-09-2019
206,18-09-2019
207,19-09-2019
208,21-09-2019
209,22-09-2019
210,23-09-2019
211,24-09-2019
212,25-09-2019
213,26-09-2019
214,28-09-2019
215,29-09-2019
216,30-09-2019
217,01-10-2019
218,02-10-2019
219,05-10-2019
220,06-10-2019
221,07-10-2019
222,09-10-2019
223,12-10-2019
224,13-10-2019
225,14-10-2019
226,15-10-2019
227,16-10-2019
228,17-10-2019
229,19-10-2019
230,20-10-2019
231,22-10-2019
232,23-10-2019
233,31-10-2019
