index,Price Date,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humid_Max,Humid_Avg,Humid_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Avg,Precipitation_Total
0,1,83.98095238,74.29047619,65.51904762,59.4952381,64.14761905,59.4952381,91.2,72.58095238,49.14285714,5.50952381,1.585714286,0.50952381,27.41904762,0
1,2,83.95238095,74.20952381,65.38571429,59.67619048,64.06666667,59.67619048,91.18571429,72.55238095,49.22857143,5.495238095,1.576190476,0.5,27.42380952,0
2,3,83.96666667,74.14285714,65.25714286,59.4952381,63.93333333,59.4952381,91.21428571,72.44285714,48.96666667,5.480952381,1.566666667,0.49047619,27.42857143,0
3,5,83.96190476,74.01904762,65.02380952,59.24761905,63.71428571,59.24761905,91.17619048,72.27142857,48.6,5.447619048,1.542857143,0.480952381,27.43809524,0
4,6,83.95714286,73.94761905,64.91428571,59.11904762,63.6,59.11904762,91.21428571,72.18571429,48.40952381,5.423809524,1.528571429,0.471428571,27.44285714,0
5,7,83.91428571,73.85714286,64.78095238,58.98571429,63.48095238,58.98571429,91.26190476,72.13333333,48.28095238,5.376190476,1.50952381,0.466666667,27.44761905,0
6,8,83.9,73.77142857,64.64761905,58.85238095,63.37142857,58.85238095,91.31904762,72.1,48.12380952,5.352380952,1.49047619,0.457142857,27.45238095,0
7,9,83.88095238,73.69047619,64.51428571,58.71904762,63.26190476,58.71904762,91.38571429,72.06190476,47.97142857,5.328571429,1.466666667,0.447619048,27.45714286,0
8,10,83.85238095,73.61428571,64.39047619,58.6047619,63.15714286,58.6047619,91.44761905,72.02857143,47.84761905,5.3,1.442857143,0.438095238,27.46190476,0
9,12,83.85238095,73.48571429,64.16190476,58.40952381,62.98571429,58.40952381,91.57142857,71.98095238,47.5952381,5.223809524,1.4,0.414285714,27.47142857,0
10,13,83.88095238,73.44285714,64.05714286,58.31428571,62.9,58.31428571,91.57142857,71.8952381,47.40952381,5.2,1.39047619,0.414285714,27.47619048,0
11,14,83.88095238,73.3952381,63.96666667,58.22857143,62.82380952,58.22857143,91.5952381,71.83809524,47.27142857,5.185714286,1.380952381,0.404761905,27.48095238,0
12,15,83.86666667,73.33333333,63.88095238,58.14761905,62.73809524,58.14761905,91.6047619,71.79047619,47.15714286,5.166666667,1.371428571,0.404761905,27.48571429,0
13,16,83.82857143,73.26666667,63.79047619,58.05714286,62.65238095,58.05714286,91.59047619,71.76190476,47.08095238,5.171428571,1.366666667,0.404761905,27.49047619,0
14,17,83.81904762,73.21904762,63.7,57.96190476,62.56190476,57.96190476,91.57142857,71.68095238,46.96190476,5.161904762,1.366666667,0.404761905,27.4952381,0
15,19,83.82857143,73.13333333,63.53333333,57.78095238,62.39047619,57.78095238,91.58571429,71.52857143,46.64761905,5.09047619,1.338095238,0.4,27.5047619,0
16,20,83.85238095,73.0952381,63.45238095,57.69047619,62.30952381,57.69047619,91.6,71.44285714,46.43333333,5.076190476,1.323809524,0.39047619,27.50952381,0
17,21,83.9047619,73.07619048,63.36190476,57.35714286,62.18095238,57.35714286,91.6,71.26666667,46.06190476,5.085714286,1.314285714,0.380952381,27.51428571,0
18,22,83.9,73.03333333,63.27619048,57.24285714,62.08571429,57.24285714,91.56190476,71.15238095,45.88095238,5.071428571,1.3,0.371428571,27.51904762,0
19,23,83.8952381,72.97619048,63.18095238,57.16190476,62.01428571,57.16190476,91.61904762,71.11428571,45.73809524,5.019047619,1.276190476,0.366666667,27.52380952,0
20,24,83.9,72.92857143,63.09047619,57.02380952,61.92380952,57.02380952,91.63333333,71.02380952,45.54285714,5.014285714,1.266666667,0.366666667,27.52857143,0
21,27,83.77619048,72.73809524,62.82857143,56.68095238,61.63809524,56.68095238,91.47142857,70.82857143,45.2952381,4.928571429,1.223809524,0.361904762,27.54285714,0
22,29,83.73333333,72.61428571,62.62380952,56.76190476,61.45714286,56.76190476,91.35238095,70.65238095,45.31428571,4.90952381,1.204761905,0.352380952,27.56666667,0
23,30,83.75238095,72.57142857,62.51904762,56.63809524,61.34761905,56.63809524,91.28571429,70.51428571,45.0952381,4.885714286,1.19047619,0.352380952,27.57142857,0
24,31,83.78095238,72.53809524,62.41904762,56.5,61.23809524,56.5,91.25238095,70.34285714,44.8,4.876190476,1.185714286,0.352380952,27.57619048,0
25,2,83.84761905,72.49047619,62.25238095,56.31428571,61.06190476,56.31428571,91.20952381,70.07619048,44.36666667,4.852380952,1.161904762,0.342857143,27.58571429,0
26,3,83.89047619,72.47142857,62.1952381,56.22857143,60.98095238,56.22857143,91.20952381,69.95238095,44.12857143,4.8,1.142857143,0.338095238,27.59047619,0
27,4,83.93333333,72.45714286,62.13333333,56.12857143,60.89047619,56.12857143,91.12857143,69.78571429,43.8952381,4.785714286,1.138095238,0.333333333,27.5952381,0
28,5,83.99047619,72.44761905,62.06190476,56.02857143,60.81904762,56.02857143,91.08571429,69.64761905,43.63809524,4.761904762,1.123809524,0.323809524,27.6,0
29,6,84.02857143,72.43333333,62,55.92380952,60.73809524,55.92380952,91.05238095,69.50952381,43.41428571,4.742857143,1.10952381,0.319047619,27.6047619,0
30,7,84.03809524,72.4,61.90952381,55.8047619,60.63333333,55.8047619,90.99047619,69.35238095,43.17142857,4.733333333,1.1,0.30952381,27.60952381,0
31,9,84.0047619,72.25714286,61.63333333,55.41904762,60.32380952,55.41904762,90.99047619,69.01428571,42.65714286,4.733333333,1.085714286,0.304761905,27.61904762,0
32,10,84.04285714,72.26190476,61.84761905,55.24285714,60.18095238,55.24285714,90.93333333,68.87142857,42.74761905,4.566666667,1.057142857,0.3,27.62380952,0
33,11,84.11428571,72.3,61.84761905,55.13333333,60.08095238,55.13333333,90.85714286,68.74761905,42.74761905,4.685714286,1.042857143,0.3,27.62857143,0
34,12,84.17142857,72.3047619,61.78095238,55.04761905,60.01428571,55.04761905,90.80952381,68.6,42.52857143,4.671428571,1.033333333,0.295238095,27.63333333,0
35,13,84.24285714,72.31428571,61.74285714,54.96190476,59.95238095,54.96190476,90.77142857,68.45714286,42.26190476,4.666666667,1.023809524,0.295238095,27.63809524,0
36,14,84.2952381,72.31428571,61.6952381,54.86190476,59.88095238,54.86190476,90.72857143,68.31904762,42.02380952,4.652380952,1.014285714,0.29047619,27.64285714,0
37,16,84.3952381,72.28095238,61.52380952,54.57142857,59.66666667,54.57142857,90.60952381,67.97619048,41.42857143,4.652380952,1.00952381,0.29047619,27.63333333,0
38,17,84.45714286,72.26666667,61.42857143,54.42857143,59.55714286,54.42857143,90.57142857,67.78571429,41.1047619,4.652380952,1.004761905,0.285714286,27.63809524,0
39,18,84.52380952,72.26190476,61.34285714,54.27142857,59.45238095,54.27142857,90.54285714,67.60952381,40.79047619,4.638095238,0.99047619,0.280952381,27.65714286,0
40,19,84.6,72.26190476,61.27619048,54.14761905,59.35714286,54.14761905,90.48571429,67.43809524,40.5,4.638095238,0.99047619,0.280952381,27.66190476,0
41,20,84.68571429,72.27142857,61.20952381,54.06190476,59.28571429,54.06190476,90.45238095,67.29047619,40.24285714,4.60952381,0.980952381,0.276190476,27.66666667,0
42,21,84.76666667,72.29047619,61.17142857,53.98571429,59.22857143,53.98571429,90.36666667,67.14285714,40.0047619,4.571428571,0.961904762,0.266666667,27.67142857,0
43,23,84.90952381,72.35714286,61.44761905,53.81904762,59.09047619,53.81904762,90.2952381,66.89047619,39.89047619,4.347619048,0.904761905,0.247619048,27.68095238,0
44,24,84.97142857,72.35238095,61.39047619,53.66666667,58.97619048,53.66666667,90.22857143,66.72857143,39.65714286,4.314285714,0.885714286,0.238095238,27.68571429,0
45,25,85.02857143,72.35238095,61.32857143,53.51904762,58.85714286,53.51904762,90.15714286,66.53333333,39.3952381,4.3,0.876190476,0.233333333,27.69047619,0
46,26,85.05714286,72.33333333,61.25714286,53.36190476,58.72857143,53.36190476,90.03809524,66.35238095,39.14761905,4.29047619,0.866666667,0.223809524,27.6952381,0
47,27,85.07142857,72.3,61.18095238,53.54285714,58.66666667,53.54285714,89.96190476,66.26190476,39.23333333,4.3,0.857142857,0.223809524,27.71904762,0
48,28,85.1,72.28095238,61.09047619,53.4047619,58.55238095,53.4047619,89.92857143,66.07619048,38.9952381,4.257142857,0.838095238,0.223809524,27.72380952,0
49,2,85.21428571,72.27619048,60.94285714,53.11428571,58.33809524,53.11428571,89.82857143,65.71428571,38.48571429,4.242857143,0.80952381,0.204761905,27.73333333,0
50,4,85.31904762,72.28095238,60.86666667,52.82380952,58.20952381,52.82380952,89.76666667,65.47619048,37.97619048,4.180952381,0.785714286,0.180952381,27.74285714,0
51,5,85.36190476,72.27142857,60.82380952,52.7047619,58.13809524,52.7047619,89.74761905,65.36190476,37.72380952,4.19047619,0.79047619,0.185714286,27.74761905,0
52,6,85.38571429,72.25714286,60.76666667,52.61428571,58.06190476,52.61428571,89.71428571,65.24285714,37.4952381,4.171428571,0.780952381,0.176190476,27.75238095,0
53,7,85.44761905,72.24761905,60.69047619,52.47619048,57.96666667,52.47619048,89.7,65.08571429,37.22857143,4.147619048,0.766666667,0.166666667,27.75714286,0
54,9,85.5952381,72.27142857,60.57142857,52.22857143,57.76666667,52.22857143,89.56666667,64.68095238,36.67142857,4.10952381,0.733333333,0.142857143,27.78571429,0
55,10,85.68095238,72.3,60.51904762,52.1047619,57.66190476,52.1047619,89.48571429,64.5047619,36.75238095,4.085714286,0.719047619,0.133333333,27.79047619,0
56,11,85.78095238,72.31904762,60.46190476,51.95714286,57.55714286,51.95714286,89.36666667,64.27142857,36.39047619,4.085714286,0.714285714,0.128571429,27.7952381,0
57,12,85.86666667,72.33809524,60.41428571,51.81428571,57.44761905,51.81428571,89.3,64.04285714,36.05714286,4.066666667,0.7,0.123809524,27.8,0
58,13,85.94285714,72.36190476,60.39047619,51.67619048,57.33809524,51.67619048,89.14285714,63.8,35.76666667,4.052380952,0.695238095,0.123809524,27.8047619,0
59,14,86.02857143,72.38095238,60.35238095,51.52857143,57.22380952,51.52857143,89,63.54285714,35.42857143,4.028571429,0.676190476,0.114285714,27.80952381,0
60,16,86.19047619,72.42380952,60.25238095,51.25238095,56.98095238,51.25238095,88.72857143,63.02857143,34.82857143,3.995238095,0.652380952,0.095238095,27.83333333,0
61,17,86.27619048,72.44761905,60.21428571,51.06666667,56.85238095,51.06666667,88.54761905,62.77619048,34.51904762,3.980952381,0.638095238,0.085714286,27.83809524,0
62,18,86.38095238,72.48095238,60.15714286,50.91428571,56.74285714,50.91428571,88.42380952,62.51904762,34.17142857,3.971428571,0.628571429,0.076190476,27.84285714,0
63,19,86.48095238,72.51428571,60.10952381,50.77142857,56.61904762,50.77142857,88.25714286,62.23809524,33.82380952,3.985714286,0.628571429,0.071428571,27.84761905,0
64,20,86.57142857,72.54761905,60.06666667,50.62380952,56.5047619,50.62380952,88.09047619,61.96666667,33.5,3.961904762,0.628571429,0.071428571,27.85238095,0
65,21,86.66190476,72.57142857,60.01428571,50.44761905,56.3952381,50.44761905,87.96190476,61.73333333,33.20952381,3.971428571,0.628571429,0.066666667,27.85714286,0
66,23,86.85238095,72.59047619,59.63333333,49.9047619,56.13333333,49.9047619,87.72857143,61.2,32.44761905,3.976190476,0.619047619,0.057142857,27.84761905,0
67,24,86.97142857,72.64285714,59.6047619,49.76190476,56.02857143,49.76190476,87.6,60.93333333,32.12380952,3.976190476,0.619047619,0.057142857,27.85238095,0
68,25,87.08095238,72.7047619,59.6,49.66190476,55.94285714,49.66190476,87.39047619,60.68095238,31.84285714,3.966666667,0.614285714,0.057142857,27.85714286,0
69,26,87.18571429,72.75714286,59.59047619,49.54761905,55.85238095,49.54761905,87.23333333,60.43809524,31.55238095,3.966666667,0.60952381,0.057142857,27.86190476,0
70,27,87.27619048,72.8,59.58095238,49.41428571,55.79047619,49.41428571,87.13809524,60.26666667,31.28571429,3.980952381,0.60952381,0.057142857,27.86666667,0
71,28,87.37619048,72.85238095,59.56666667,49.5952381,55.74761905,49.5952381,87.1,60.12380952,31.33809524,3.976190476,0.595238095,0.047619048,27.87142857,0
72,30,87.58571429,72.96190476,59.57142857,49.35238095,55.62857143,49.35238095,86.81428571,59.73333333,30.80952381,3.957142857,0.576190476,0.042857143,27.88095238,0
73,31,87.7,73.03809524,59.6,49.21428571,55.55238095,49.21428571,86.65238095,59.47619048,30.50952381,3.947619048,0.576190476,0.042857143,27.88095238,0
74,1,87.80952381,73.08571429,59.59047619,49.07142857,55.45238095,49.07142857,86.47142857,59.23809524,30.20952381,3.957142857,0.571428571,0.042857143,27.88571429,0
75,2,87.9047619,73.13333333,59.56666667,48.9047619,55.37142857,48.9047619,86.36190476,59.03809524,29.94285714,3.957142857,0.561904762,0.038095238,27.88571429,0
76,3,88.00952381,73.19047619,59.54761905,48.77142857,55.29047619,48.77142857,86.2047619,58.82380952,29.6952381,3.942857143,0.547619048,0.028571429,27.89047619,0
77,4,88.11428571,73.25238095,59.55714286,48.67619048,55.23809524,48.67619048,86,58.63809524,29.48095238,3.928571429,0.533333333,0.014285714,27.89047619,0
78,6,88.33333333,73.37619048,59.5952381,48.52857143,55.13809524,48.52857143,85.65238095,58.24761905,29.05238095,3.919047619,0.523809524,0.004761905,27.9,0
79,7,88.40952381,73.43333333,59.63333333,48.43333333,55.06190476,48.43333333,85.42857143,58.03809524,28.86666667,3.923809524,0.523809524,0.004761905,27.9,0
80,8,88.5047619,73.49047619,59.65238095,48.33809524,54.98571429,48.33809524,85.21428571,57.82857143,28.67142857,3.90952381,0.523809524,0.004761905,27.8952381,0
81,9,88.56190476,73.53333333,59.67142857,48.24285714,54.9047619,48.24285714,85.01428571,57.62380952,28.52380952,3.89047619,0.523809524,0.004761905,27.8952381,0
82,10,88.66190476,73.5952381,59.67142857,48.14285714,54.83333333,48.14285714,84.83333333,57.42857143,28.33809524,3.895238095,0.523809524,0.004761905,27.8952381,0
83,11,88.75238095,73.65714286,59.68095238,48.02380952,54.77142857,48.02380952,84.68095238,57.24285714,28.14285714,3.895238095,0.519047619,0.004761905,27.8952381,0
84,13,88.88571429,73.74761905,59.73809524,47.83809524,54.67142857,47.83809524,84.36666667,56.92857143,27.82380952,3.89047619,0.519047619,0.004761905,27.8952381,0
85,14,88.97142857,73.79047619,59.73809524,47.75714286,54.61904762,47.75714286,84.27619048,56.78095238,27.63809524,3.914285714,0.523809524,0.004761905,27.8952381,0
86,15,89.04285714,73.82857143,59.75714286,47.69047619,54.58571429,47.69047619,84.18095238,56.65714286,27.48571429,3.952380952,0.523809524,0.004761905,27.9,0
87,16,89.08095238,73.85714286,59.78571429,47.65238095,54.57142857,47.65238095,84.08571429,56.57142857,27.39047619,3.961904762,0.528571429,0.004761905,27.9047619,0
88,17,89.15714286,73.8952381,59.76666667,47.52380952,54.4952381,47.52380952,84.02380952,56.37619048,27.11428571,3.919047619,0.528571429,0.004761905,27.9047619,0
