index,Modal Price (Rs./Quintal)
0,1000
1,1000
2,1000
3,900
4,1000
5,1000
6,900
7,1000
8,1000
9,1000
10,1000
11,700
12,900
13,1000
14,1000
15,700
16,700
17,800
18,800
19,800
20,700
21,1000
22,1000
23,1000
24,1000
25,900
26,1000
27,1000
28,900
29,1000
30,1000
31,900
32,1000
33,900
34,1000
35,1000
36,1000
37,900
38,900
39,900
40,900
41,900
42,1000
43,900
44,900
45,800
46,1000
47,900
48,650
49,900
50,800
51,800
52,900
53,800
54,1200
55,1200
56,1200
57,1200
58,600
59,500
60,700
61,600
62,600
63,600
64,600
65,700
66,800
67,600
68,600
69,600
70,600
71,850
72,700
73,800
74,600
75,800
76,800
77,600
78,800
79,700
80,650
81,800
82,750
83,750
84,900
85,650
86,700
87,700
88,900
89,650
90,700
91,600
92,700
93,600
94,850
95,800
96,900
97,800
98,800
99,800
100,1200
101,800
102,1100
103,800
104,1100
105,800
106,800
107,800
108,900
109,900
110,900
111,850
112,1000
113,1000
114,1000
115,900
116,850
117,1200
118,1200
119,1100
120,1000
121,1100
122,1300
123,1100
124,1100
125,1100
126,1200
127,1500
128,1500
129,1200
130,1100
131,1000
132,1100
133,1200
134,1100
135,1200
136,1000
137,1200
138,1100
139,1600
140,1300
141,1200
142,1100
143,1200
144,1200
145,1100
146,1200
147,1200
148,1200
149,1200
150,1300
151,1600
152,1200
153,1200
154,1200
155,1300
156,1300
157,1600
158,1200
159,1600
160,1200
161,1100
162,1500
163,1400
164,1300
165,1200
166,1500
167,1000
168,1500
169,1500
170,1500
171,1500
172,1600
173,1600
174,1800
175,1500
176,1800
177,1500
178,1500
179,1500
180,2000
181,1800
182,1800
183,2000
184,2300
185,2200
186,2500
187,2200
188,2500
189,2200
190,2500
191,2500
192,2600
193,2600
194,2800
195,2600
196,2800
197,2800
198,2800
199,3000
200,3000
201,3000
202,2800
203,2700
204,3000
205,3500
206,3500
207,3500
208,4500
209,5000
210,4500
211,4800
212,4500
213,4500
214,3500
215,3500
216,3800
217,3500
218,3500
219,3000
220,3500
221,3500
222,3500
223,3200
224,3500
225,3200
226,3700
227,3700
228,3500
229,3200
230,3500
231,3500
232,3500
233,3800
